期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
24.8,0.0,9.3,6.753
25.7,0.0,9.1,6.264
26.4,0.0,10.3,6.675
27.6,0.0,9.7,6.689
28.9,0.0,10.1,7.156
29.2,0.5,9.7,6.944
24.5,91.5,0.4,2.222
22.7,26.5,5.4,5.339
22.5,0.0,0.2,3.528
23.8,0.0,5.6,5.622
24.6,0.0,2.3,3.919
24.8,T,0.3,3.461
24.9,T,0.1,3.108
24.5,T,0.0,1.722
25.1,T,0.2,3.311
26.1,0.0,5.1,5.397
27.7,0.0,5.7,5.256
28.0,1.5,1.1,2.683
25.8,24.0,1.9,1.631
27.1,1.0,5.9,5.772
28.3,0.0,4.7,4.958
28.4,6.5,2.0,4.156
25.1,20.0,3.9,5.064
25.0,7.0,1.3,3.25
27.0,T,6.9,5.447
27.6,0.0,6.6,5.419
27.5,T,2.8,4.553
27.8,0.0,7.0,5.817
28.6,0.0,6.4,5.828
30.2,0.0,7.6,6.125
29.1,0.0,3.8,5.042
28.5,T,7.1,5.983
29.9,0.0,9.6,6.706
27.9,52.0,2.6,4.219
28.7,T,5.8,5.111
29.0,0.5,7.8,5.733
28.7,0.0,8.4,6.497
29.0,19.5,7.4,6.186
27.9,0.5,4.3,5.153
28.5,0.5,3.9,4.15
28.6,T,2.0,4.25
27.6,8.5,1.9,3.192
28.0,2.0,2.2,3.722
28.1,5.0,3.1,4.244
27.5,20.5,0.0,2.547
27.2,10.5,0.7,2.986
27.9,15.0,1.7,3.583
27.2,8.0,0.5,2.469
28.6,0.0,4.2,4.519
29.5,0.0,8.8,6.911
29.9,0.0,8.4,6.619
29.8,0.0,5.9,5.483
30.0,0.0,7.5,6.397
29.8,0.0,6.2,5.775
28.9,0.5,8.3,7.264
29.1,0.0,9.6,6.844
29.5,T,7.3,6.833
29.2,0.0,8.0,6.469
29.9,0.0,0.0,3.303
28.4,8.0,4.8,4.994
27.3,11.5,3.8,4.481
29.1,0.0,5.2,5.283
30.1,0.0,6.0,5.542
29.8,0.0,7.8,6.331
30.2,0.0,9.6,7.383
30.9,0.0,10.1,7.225
30.6,0.0,8.2,6.242
31.1,0.0,9.6,7.067
31.0,0.0,9.1,7.172
30.7,0.0,8.1,6.406
30.6,0.0,8.3,6.456
29.2,1.0,5.6,5.597
28.7,6.0,6.2,5.494
29.4,0.0,8.8,6.372
30.9,0.0,9.2,6.906
30.9,0.0,6.6,5.656
28.4,34.5,4.7,3.803
29.0,3.5,6.0,5.386
27.5,17.0,0.9,3.178
28.3,0.5,6.1,6.161
29.3,1.5,5.1,4.817
28.9,1.0,7.1,6.131
29.1,4.5,7.4,5.939
28.8,18.0,5.1,5.283
29.6,0.0,8.0,6.181
30.1,0.0,7.8,5.725
29.4,1.0,1.0,2.633
28.2,0.5,0.0,1.794
25.8,9.0,0.0,1.267
27.0,95.0,4.7,4.414
