"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","Geopotential Height","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","892.0","1430.3","895.6","2023/06/01 22:43:00","889.0","2023/06/01 04:02:00","22.1","25.9","2023/06/01 16:20:00","20.3","2023/06/01 03:34:00","20.8","93","71","2023/06/01 16:23:00","1.2","190","6.4","190","2023/06/01 18:58:00","0.0","0.0","0.0","--","0.0","--","3.0","22.2","12.41","17.0","2.5","6","2023/06/01 13:00:00","8.7","23.7","23.7","23.8","23.9","24.3","24.2","23.2"
"02","897.3","1483.8","900.0","2023/06/02 22:18:00","894.7","2023/06/02 01:15:00","24.1","29.5","2023/06/02 14:39:00","20.0","2023/06/02 05:32:00","21.3","85","63","2023/06/02 13:17:00","0.8","200","5.9","200","2023/06/02 06:17:00","0.0","0.0","0.0","--","0.0","--","6.8","50.4","22.54","30.0","-4.4","11","2023/06/02 13:00:00","6.4","25.3","24.0","24.2","23.9","24.2","24.1","23.4"
"03","900.4","1512.9","902.0","2023/06/03 22:28:00","898.9","2023/06/03 03:31:00","22.7","27.1","2023/06/03 10:51:00","20.9","2023/06/03 05:56:00","22.1","97","83","2023/06/03 10:52:00","0.7","320","4.2","190","2023/06/03 23:46:00","4.5","0.3","4.0","2023/06/03 02:55:00","4.0","2023/06/03 02:55:00","1.3","9.6","12.44","28.0","2.0","7","2023/06/03 11:00:00","9.4","24.6","24.4","24.5","24.4","24.7","24.3","23.4"
"04","900.9","1516.5","902.1","2023/06/04 22:46:00","899.4","2023/06/04 16:30:00","22.1","27.1","2023/06/04 11:41:00","20.3","2023/06/04 23:41:00","21.6","97","70","2023/06/04 11:42:00","0.9","320","5.3","310","2023/06/04 15:33:00","8.0","3.0","2.5","2023/06/04 17:13:00","5.0","2023/06/04 16:23:00","0.8","5.9","8.84","20.0","-1.3","9","2023/06/04 12:00:00","8.8","24.2","23.9","24.1","24.1","24.5","24.4","23.5"
"05","900.8","1515.2","903.3","2023/06/05 22:51:00","899.0","2023/06/05 15:48:00","22.5","28.1","2023/06/05 15:00:00","18.5","2023/06/05 23:35:00","20.9","91","75","2023/06/05 13:26:00","1.0","320","6.2","200","2023/06/05 21:55:00","24.0","3.7","10.0","2023/06/05 22:18:00","19.5","2023/06/05 21:57:00","2.9","21.5","13.84","26.0","-1.8","7","2023/06/05 13:00:00","7.4","24.0","23.8","23.9","23.9","24.2","24.2","23.6"
"06","900.7","1515.4","902.9","2023/06/06 22:21:00","899.2","2023/06/06 15:58:00","23.1","29.0","2023/06/06 13:56:00","19.3","2023/06/06 00:02:00","20.1","84","62","2023/06/06 11:11:00","1.0","310","5.9","90","2023/06/06 00:19:00","4.5","3.4","1.5","2023/06/06 20:15:00","2.5","2023/06/06 19:30:00","5.7","42.0","21.20","28.0","-3.7","10","2023/06/06 13:00:00","4.6","24.6","23.6","23.8","23.7","24.1","24.2","23.6"
"07","901.3","1521.5","902.8","2023/06/07 23:17:00","899.8","2023/06/07 17:24:00","23.1","28.7","2023/06/07 13:24:00","19.9","2023/06/07 22:47:00","21.6","91","69","2023/06/07 13:40:00","0.7","320","7.2","260","2023/06/07 21:34:00","21.5","1.7","7.0","2023/06/07 22:41:00","15.5","2023/06/07 22:38:00","5.5","40.5","19.52","30.0","-3.3","8","2023/06/07 14:00:00","7.8","25.0","24.3","24.4","24.2","24.5","24.4","23.6"
"08","899.7","1505.0","902.2","2023/06/08 00:01:00","898.0","2023/06/08 15:45:00","22.3","26.3","2023/06/08 12:36:00","19.8","2023/06/08 00:47:00","21.5","95","80","2023/06/08 11:42:00","0.7","300","4.3","200","2023/06/08 19:20:00","2.5","2.0","0.5","2023/06/08 15:36:00","1.5","2023/06/08 15:52:00","2.0","14.7","12.38","25.0","-1.8","8","2023/06/08 13:00:00","8.0","24.2","23.9","24.0","24.1","24.5","24.6","23.7"
"09","897.2","1479.9","899.0","2023/06/09 00:02:00","895.4","2023/06/09 15:57:00","22.0","26.4","2023/06/09 15:31:00","20.6","2023/06/09 02:25:00","21.7","98","81","2023/06/09 15:27:00","0.5","320","3.7","310","2023/06/09 16:09:00","6.5","2.4","2.5","2023/06/09 19:20:00","6.0","2023/06/09 18:39:00","2.2","16.2","10.42","13.4","-1.6","5","2023/06/09 15:00:00","9.2","23.6","23.7","23.8","23.9","24.3","24.5","23.8"
