"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"ObsTime","StnPres","Geopotential Height","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm"
"01","757.5","3072.5","760.9","2023/06/01 22:46:00","754.6","2023/06/01 03:57:00","13.5","16.9","2023/06/01 12:01:00","11.6","2023/06/01 05:34:00","12.8","96","84","2023/06/01 07:38:00","2.1","20","12.7","340","2023/06/01 13:08:00","T","2.3","T","2023/06/01 13:14:00","T","2023/06/01 13:14:00","3.1","22.9","16.08","2.0","-1.3","7.3","16.9","15.7","16.1","16.0","16.2"
"02","762.5","3129.3","764.8","2023/06/02 22:18:00","759.8","2023/06/02 02:01:00","14.6","18.2","2023/06/02 16:44:00","11.9","2023/06/02 04:48:00","13.5","94","79","2023/06/02 08:58:00","0.9","80","6.2","90","2023/06/02 00:30:00","T","0.6","T","2023/06/02 13:46:00","T","2023/06/02 13:46:00","4.3","31.7","14.44","15.9","-1.4","6.8","16.9","15.7","16.0","15.9","16.1"
"03","764.9","3157.0","766.3","2023/06/03 22:16:00","763.6","2023/06/03 03:29:00","14.5","17.5","2023/06/03 08:21:00","12.2","2023/06/03 05:15:00","14.4","99","87","2023/06/03 08:14:00","0.5","340","4.0","300","2023/06/03 15:07:00","47.0","8.6","9.0","2023/06/03 14:26:00","32.0","2023/06/03 14:11:00","1.7","12.5","6.86","11.5","-1.1","7.0","16.8","15.7","15.9","15.8","16.1"
"04","765.3","3162.2","766.1","2023/06/04 09:44:00","764.3","2023/06/04 16:15:00","14.9","18.4","2023/06/04 10:17:00","12.6","2023/06/04 03:24:00","14.7","99","86","2023/06/04 10:20:00","0.5","80","4.0","360","2023/06/04 11:21:00","1.5","6.8","0.5","2023/06/04 18:24:00","1.0","2023/06/04 18:24:00","2.1","15.5","11.90","7.4","-0.9","6.3","17.2","16.0","16.1","15.9","16.1"
"05","765.1","3159.4","766.6","2023/06/05 22:16:00","764.1","2023/06/05 15:56:00","14.6","17.7","2023/06/05 13:24:00","11.7","2023/06/05 04:45:00","14.3","98","87","2023/06/05 15:03:00","0.8","170","5.8","220","2023/06/05 21:35:00","60.5","4.9","8.5","2023/06/05 19:56:00","27.5","2023/06/05 19:28:00","2.7","19.9","12.53","12.0","/","7.8","17.1","16.0","16.3","16.1","16.2"
"06","765.3","3159.8","767.0","2023/06/06 22:15:00","764.2","2023/06/06 16:03:00","13.9","17.9","2023/06/06 12:56:00","10.1","2023/06/06 04:13:00","13.2","96","72","2023/06/06 08:07:00","1.0","190","3.9","340","2023/06/06 12:22:00","2.0","1.8","0.5","2023/06/06 20:57:00","1.5","2023/06/06 20:57:00","4.1","30.2","14.84","18.4","-2.1","5.0","16.8","15.6","15.9","15.9","16.1"
"07","765.9","3167.9","766.8","2023/06/07 10:47:00","764.8","2023/06/07 17:23:00","14.6","19.3","2023/06/07 09:32:00","11.2","2023/06/07 05:00:00","14.1","97","74","2023/06/07 07:53:00","0.7","160","3.6","240","2023/06/07 13:11:00","15.0","2.9","5.0","2023/06/07 19:58:00","9.5","2023/06/07 19:58:00","3.6","26.7","12.33","20.8","-1.2","6.8","16.9","15.8","16.0","15.9","16.1"
"08","764.5","3153.2","766.3","2023/06/08 00:01:00","763.2","2023/06/08 16:42:00","15.0","19.0","2023/06/08 12:16:00","12.2","2023/06/08 05:39:00","14.1","94","78","2023/06/08 12:32:00","1.0","240","5.1","290","2023/06/08 12:23:00","9.0","1.2","4.0","2023/06/08 19:37:00","6.5","2023/06/08 19:05:00","5.5","40.7","22.59","21.4","-1.5","7.2","17.4","16.2","16.4","16.1","16.3"
"09","762.1","3125.8","763.7","2023/06/09 00:02:00","760.7","2023/06/09 15:47:00","14.3","17.2","2023/06/09 09:03:00","12.4","2023/06/09 23:04:00","14.1","99","80","2023/06/09 08:42:00","0.8","310","4.6","330","2023/06/09 16:12:00","17.5","3.4","4.0","2023/06/09 16:04:00","13.5","2023/06/09 15:46:00","0.7","5.1","9.54","15.2","-1.0","8.8","17.4","16.2","16.4","16.3","16.6"
"10","760.2","3103.5","761.5","2023/06/10 00:01:00","759.0","2023/06/10 15:50:00","14.2","17.5","2023/06/10 09:56:00","11.7","2023/06/10 04:15:00","13.4","95","70","2023/06/10 07:55:00","0.9","220","3.9","350","2023/06/10 10:49:00","0.5","0.7","0.5","2023/06/10 18:40:00","0.5","2023/06/10 18:18:00","1.0","7.3","13.10","10.2","-2.0","8.7","17.2","16.0","16.2","16.2","16.4"
"11","759.8","3100.7","761.0","2023/06/11 21:37:00","758.7","2023/06/11 03:53:00","14.6","19.5","2023/06/11 12:33:00","12.3","2023/06/11 05:15:00","13.8","95","77","2023/06/11 08:12:00","0.9","180","6.8","260","2023/06/11 13:40:00","27.0","3.0","9.5","2023/06/11 13:36:00","26.5","2023/06/11 13:13:00","2.3","17.0","10.78","8.2","-2.1","8.0","17.1","16.1","16.3","16.2","16.5"
"12","759.9","3102.1","761.0","2023/06/12 09:06:00","758.7","2023/06/12 16:29:00","15.0","20.7","2023/06/12 13:24:00","12.9","2023/06/12 00:12:00","14.3","96","65","2023/06/12 13:19:00","1.0","160","6.4","150","2023/06/12 12:51:00","3.0","4.2","1.0","2023/06/12 18:10:00","1.5","2023/06/12 17:55:00","1.5","11.0","12.39","0.5","-0.5","/","17.4","16.1","16.3","16.2","16.4"
