期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
24.2,0.0,7.4,6.381
25.3,0.0,9.2,6.636
25.7,0.0,5.9,5.886
27.3,0.0,8.9,6.878
28.9,0.0,11.5,7.397
29.7,0.0,9.6,7.156
24.9,89.5,0.2,1.575
22.5,0.5,2.1,3.744
22.4,0.0,0.9,3.417
23.4,0.0,3.3,4.328
24.6,0.0,3.1,4.678
25.1,0.0,1.9,4.397
24.8,T,0.2,3.6
24.3,T,0.0,2.011
25.1,T,0.6,3.956
26.0,T,4.1,5.381
27.6,0.0,7.2,5.753
28.6,T,2.2,3.65
26.4,30.0,3.1,2.544
27.4,T,6.4,5.986
28.8,0.0,7.7,6.456
29.2,T,3.9,4.925
25.1,48.0,3.8,4.883
25.3,T,2.5,4.144
27.4,0.0,7.8,6.169
27.5,0.0,8.6,6.514
27.3,0.0,3.9,5.189
27.6,T,8.3,6.442
28.3,0.0,6.0,5.658
29.7,0.0,8.7,6.467
28.9,0.0,4.9,5.808
28.4,T,7.2,5.272
29.9,2.0,9.7,6.758
27.4,15.5,0.1,2.128
28.7,29.0,8.1,6.65
28.1,5.0,7.8,6.2
28.8,T,9.6,6.628
28.6,9.5,5.7,5.178
28.7,T,5.3,5.317
28.6,0.0,3.2,4.136
28.4,T,2.6,4.606
27.4,2.5,2.7,2.833
27.2,4.5,2.0,3.386
27.3,11.5,2.0,3.903
27.8,0.5,0.1,3.05
27.7,T,0.7,3.703
28.3,5.5,0.6,3.256
27.7,6.0,1.5,3.306
29.3,0.0,4.9,5.961
29.7,0.0,10.3,6.978
29.9,0.0,10.1,6.581
30.0,0.0,8.4,6.139
30.1,T,8.1,6.319
29.9,T,5.7,5.394
29.0,3.0,8.8,6.642
29.3,0.0,11.5,7.089
28.9,T,7.7,5.856
29.5,0.0,9.5,6.906
29.2,T,0.0,3.083
28.0,9.0,5.5,4.431
28.5,0.0,4.1,4.733
29.8,0.0,7.7,6.519
30.5,0.0,9.6,7.019
30.6,0.0,10.2,6.756
30.7,0.0,11.5,7.547
31.2,0.0,11.7,7.169
31.0,0.0,9.8,6.825
31.3,0.0,11.0,7.125
31.1,0.0,9.6,7.15
30.9,0.0,8.1,5.7
30.7,0.0,8.6,6.358
29.4,T,5.9,4.833
29.5,0.0,8.5,5.578
30.0,0.0,9.1,6.258
30.8,0.0,9.1,6.825
30.9,0.0,8.3,6.617
29.2,43.0,6.0,4.283
28.9,56.5,6.2,4.967
27.7,36.5,1.9,4.025
28.9,0.5,4.6,5.358
28.7,10.5,5.0,4.711
29.7,T,10.8,7.064
29.5,0.5,7.5,5.128
28.4,8.5,6.8,5.692
29.4,0.0,8.9,5.522
30.3,0.0,8.5,6.378
28.5,2.0,0.1,1.85
27.7,T,0.0,1.981
25.3,13.0,0.0,1.086
27.5,34.0,4.8,5.361
28.6,0.0,5.0,5.061
28.6,0.0,2.7,4.514
29.0,0.0,7.9,5.731
28.5,4.5,4.1,4.322
28.9,34.5,3.3,3.983
28.6,88.0,0.0,2.044
28.8,1.5,0.3,1.756
29.7,T,6.3,5.547
30.0,0.0,8.6,6.367
29.6,T,2.2,4.497
28.8,9.0,0.8,2.989
29.1,T,7.4,5.794
29.2,0.0,6.3,5.8
30.0,0.0,7.4,5.689
29.1,0.5,4.3,4.65
28.3,13.5,2.7,3.625
