期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
25.8,0.0,10.0,6.844
26.6,0.0,11.4,7.028
26.9,0.0,9.5,6.819
28.1,0.0,12.1,7.561
28.7,0.0,11.4,7.547
29.0,0.0,11.8,7.597
27.7,14.5,0.6,2.156
25.1,1.5,4.0,5.261
23.1,0.0,0.7,3.119
24.7,0.0,11.5,7.6
25.8,0.0,3.9,5.006
25.9,0.0,3.5,4.742
25.7,T,1.9,4.6
25.8,T,0.3,3.078
24.9,5.0,0.1,2.347
26.0,1.0,0.5,3.989
27.7,0.0,11.8,7.669
28.7,0.0,4.3,5.539
28.3,1.5,4.4,5.483
28.4,T,6.5,5.825
28.9,0.0,9.8,7.164
29.3,0.0,9.4,6.764
27.4,4.0,1.2,3.669
27.4,0.0,3.7,5.228
28.8,0.0,9.3,6.811
28.9,T,5.5,4.528
28.6,0.0,3.8,5.039
28.4,0.0,8.4,6.703
29.0,0.0,11.3,7.669
29.7,0.5,5.0,5.569
29.2,0.5,3.1,3.172
28.6,0.0,7.0,6.039
29.4,0.0,10.8,7.2
29.0,9.0,4.2,5.078
30.0,0.0,7.0,6.45
29.5,0.0,7.8,6.456
29.6,0.0,11.1,7.422
29.5,0.0,11.1,7.336
29.5,0.0,10.3,6.794
29.9,0.0,10.0,6.628
29.5,T,5.5,5.106
28.7,34.5,1.2,3.392
27.0,65.0,1.3,3.011
27.7,24.0,3.1,4.597
28.5,7.5,3.1,5.15
27.4,13.5,1.0,3.689
28.4,0.5,2.1,4.364
29.3,0.0,0.6,3.514
29.9,0.0,8.3,7.064
30.2,0.0,11.4,7.5
30.1,0.0,11.2,7.622
30.1,T,10.0,7.406
29.9,1.5,8.2,6.603
29.9,0.5,9.2,6.789
30.2,0.0,12.2,7.817
30.4,0.0,9.7,6.961
29.4,23.0,8.2,6.286
29.9,0.5,7.2,6.175
29.9,T,0.1,3.683
30.1,0.0,5.7,5.386
30.4,0.0,10.0,6.85
29.2,2.5,3.7,4.836
30.2,0.5,11.8,7.85
30.1,0.0,11.4,7.761
30.3,0.0,11.2,7.567
30.8,0.0,11.7,7.35
30.6,0.0,9.1,6.719
30.8,0.0,10.4,7.364
31.0,0.0,11.8,7.647
30.8,0.0,10.3,7.178
30.8,0.0,10.8,7.722
29.3,18.5,2.0,3.778
29.6,11.0,8.3,6.392
30.3,0.0,8.5,6.714
31.1,0.0,9.0,6.311
31.6,T,9.1,6.258
29.9,12.5,3.3,3.403
31.2,0.0,10.7,6.972
30.1,1.5,3.3,5.233
29.4,29.0,2.7,4.764
28.8,12.0,4.6,5.697
29.8,T,11.3,7.083
30.0,0.0,7.7,5.839
29.5,5.5,4.8,3.242
30.2,0.0,10.2,6.606
30.4,8.0,9.4,7.075
28.0,11.0,0.0,1.203
26.4,20.0,0.0,0.978
25.6,106.0,0.0,0.508
29.2,0.0,7.8,6.589
28.6,26.0,1.3,3.381
28.8,T,5.4,5.339
29.8,0.0,9.7,6.761
29.5,T,3.2,4.883
30.2,0.0,1.9,4.156
30.0,0.0,3.0,4.681
30.0,0.0,2.7,4.672
29.7,0.5,1.1,3.567
29.1,10.5,3.8,3.703
29.2,18.5,2.9,3.358
29.4,14.0,5.7,6.078
26.0,190.5,0.0,0.186
27.4,52.0,1.4,3.381
29.1,4.0,7.9,6.619
28.7,5.0,3.1,3.633
27.9,35.0,1.9,2.194
29.0,14.5,3.2,4.303
28.8,9.5,1.3,2.914
26.6,3.0,1.1,1.419
27.2,18.0,2.0,3.678
27.5,2.0,1.6,2.067
29.1,0.0,11.0,6.764
29.8,T,10.7,7.375
29.9,0.0,9.4,6.189
30.1,0.0,9.6,7.211
29.8,0.0,8.5,6.458
29.9,T,10.1,6.811
29.3,0.0,6.3,5.306
29.4,0.0,6.4,4.742
30.0,0.0,10.8,6.881
30.6,T,8.5,6.281
29.7,T,2.0,3.636
27.5,33.0,0.2,2.078
28.5,12.0,4.8,3.875
29.0,6.5,2.8,4.458
27.8,10.0,0.0,0.839
26.5,28.5,1.6,3.019
28.3,T,2.9,4.556
28.8,0.5,7.9,6.689
27.3,143.5,1.1,2.522
25.9,94.0,0.0,2.697
25.4,49.5,0.0,1.917
25.8,48.5,0.0,1.525
