期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
23.0,0.0,9.7,6.919
24.9,0.0,9.8,6.344
25.3,0.0,8.4,6.194
26.4,0.0,9.2,7.072
28.3,0.0,8.5,6.628
27.5,4.5,5.3,5.514
23.5,27.5,0.3,1.819
20.0,18.0,0.5,2.561
20.6,0.0,0.0,2.956
22.5,0.0,9.3,7.1
23.8,0.0,1.6,4.456
23.4,0.0,0.0,2.653
23.3,T,0.1,2.161
23.7,T,0.0,1.822
24.4,0.0,0.8,3.906
25.2,0.0,8.9,6.614
27.1,0.0,8.7,6.881
29.1,6.0,7.9,6.161
23.8,249.0,0.0,0.636
25.1,0.5,0.0,2.633
27.3,T,1.4,3.567
28.5,62.0,3.6,4.556
21.9,8.0,1.2,3.556
23.4,10.0,1.6,3.317
25.8,T,3.1,4.717
27.1,0.0,9.8,6.933
27.6,0.0,7.0,6.508
27.8,0.0,9.5,7.131
29.9,0.0,11.6,8.014
29.4,0.0,11.5,7.864
26.4,42.0,1.0,2.508
27.1,1.0,2.2,4.183
28.9,T,8.7,7.331
29.5,0.0,6.7,6.297
28.9,0.0,2.7,5.125
29.1,0.0,6.9,6.758
29.2,0.0,11.1,8.2
29.1,0.0,8.7,6.817
29.3,0.0,5.4,5.911
29.3,T,7.3,6.625
27.8,1.0,2.7,5.028
27.1,3.0,0.1,2.636
27.7,T,0.5,3.383
27.8,0.0,5.3,5.908
27.4,2.0,0.8,3.628
25.8,10.0,0.7,3.408
27.1,11.5,3.4,4.358
27.6,6.5,0.4,2.514
29.0,T,5.4,6.075
29.4,0.0,4.6,5.639
30.4,0.0,10.9,7.883
30.2,0.0,10.3,7.314
29.6,0.0,4.5,4.214
29.3,T,7.8,6.533
28.7,25.0,9.0,6.817
29.2,0.0,9.9,7.733
29.0,0.5,7.0,6.581
28.6,0.0,5.2,4.622
29.8,0.0,3.7,5.558
29.5,T,9.5,7.186
29.8,0.0,9.8,7.503
30.1,0.0,5.9,6.481
29.6,T,8.6,6.383
30.1,0.0,10.4,7.297
30.9,0.0,11.4,7.597
31.9,0.0,11.4,7.678
31.1,0.0,10.7,7.578
31.4,0.0,11.6,7.903
31.4,0.0,11.6,7.903
30.7,0.0,9.5,7.111
30.7,0.0,10.3,7.242
30.3,0.0,7.6,6.742
29.9,0.0,9.3,6.878
30.0,0.0,9.5,6.892
31.6,0.0,9.2,7.064
31.0,0.0,7.6,6.406
30.7,0.0,8.3,6.608
30.9,0.0,8.3,6.544
28.9,5.0,0.4,2.681
29.7,T,7.1,6.044
30.1,T,8.2,6.4
29.9,8.0,9.5,7.419
30.1,0.0,6.2,5.667
29.0,T,6.5,5.153
29.6,0.0,6.1,5.544
31.1,0.0,11.3,7.356
30.4,T,0.2,2.622
29.2,0.5,0.7,2.319
27.6,4.0,0.0,0.881
28.9,58.5,2.7,4.922
27.5,7.5,1.2,3.019
28.4,0.5,2.6,3.958
28.4,1.5,5.7,5.264
28.0,80.5,1.9,3.822
29.3,5.5,0.7,2.706
30.1,4.5,3.4,4.817
28.2,29.0,1.1,2.839
30.8,0.0,7.9,5.936
30.8,0.0,10.7,7.272
30.5,0.0,3.5,4.461
31.3,0.0,7.4,6.353
29.2,7.0,6.6,5.853
27.4,36.0,4.3,4.369
29.4,0.0,9.8,7.108
30.6,0.0,10.6,7.131
31.0,0.0,10.5,6.847
31.5,0.0,11.4,7.236
27.5,48.5,0.3,0.731
27.6,30.5,6.9,6.192
27.5,17.5,7.5,6.056
27.7,3.5,3.7,4.553
28.3,0.0,6.7,5.694
29.2,0.0,11.6,7.169
29.8,0.0,11.2,7.481
29.4,0.0,8.9,6.875
29.5,0.0,8.9,5.567
29.9,0.0,7.1,5.447
29.7,0.0,7.2,5.15
29.4,T,9.9,6.044
29.4,0.0,10.4,6.614
30.3,0.0,6.1,5.144
31.8,T,9.9,6.844
30.3,0.0,3.5,4.119
29.5,0.0,7.8,6.278
30.1,2.0,5.0,4.592
28.9,0.0,0.0,1.675
28.6,2.0,0.0,1.156
28.1,8.5,3.3,4.381
26.9,15.0,1.4,2.686
27.8,0.0,3.5,4.594
26.7,8.0,0.4,2.528
26.9,6.5,1.6,4.033
27.5,0.0,10.3,6.308
27.8,0.0,8.9,6.089
27.8,0.0,9.4,6.331
28.0,0.0,8.5,5.931
27.8,0.0,5.3,4.6
27.6,13.0,6.4,5.528
27.9,0.0,8.5,6.164
28.6,0.0,7.8,5.814
28.6,0.0,8.6,6.117
28.9,0.0,8.1,5.228
29.1,0.0,7.8,5.497
29.0,0.0,7.7,5.183
29.5,0.0,7.5,5.7
30.5,T,6.1,4.183
29.4,0.0,6.3,5.083
29.5,0.0,6.2,4.606
30.2,0.0,10.7,6.314
30.3,0.0,10.6,6.181
30.2,0.0,8.5,5.783
30.1,0.0,9.2,6.114
29.5,0.0,8.6,5.114
28.8,0.0,10.4,6.339
27.2,0.0,7.5,4.936
26.8,1.0,5.4,4.178
25.8,52.5,0.0,0.7
27.5,16.0,4.7,4.322
27.1,2.5,2.0,3.5
26.0,4.5,0.2,2.331
25.1,0.5,0.1,2.011
24.8,0.5,0.0,1.367
25.0,T,8.2,5.361
25.1,T,10.4,5.919
25.5,0.0,9.6,5.494
25.5,0.0,9.5,5.722
24.5,0.0,1.6,2.628
24.4,0.0,4.4,4.208
25.3,0.0,8.2,5.506
25.7,0.0,6.6,5.133
25.9,0.0,7.8,4.972
26.1,T,6.7,4.569
24.3,T,0.0,1.858
22.8,0.0,0.5,2.783
24.4,T,1.7,3.322
25.8,0.0,3.9,3.986
25.6,0.0,5.0,4.008
25.9,0.0,9.9,5.428
25.1,0.0,8.9,4.853
24.6,T,0.5,2.278
22.3,11.5,0.3,2.081
23.3,0.0,1.4,2.8
23.8,T,4.2,3.4
24.7,0.0,9.8,5.417
25.7,0.0,9.0,5.208
24.5,0.0,9.4,5.106
24.3,0.0,7.7,4.422
24.7,0.0,9.6,5.119
24.6,0.0,8.1,4.881
25.5,0.0,7.3,4.611
23.3,0.0,5.9,4.347
24.7,0.0,3.8,3.769
25.2,0.0,9.3,4.642
24.8,0.0,5.7,4.172
22.8,0.0,4.9,3.9
21.2,T,1.4,2.392
18.5,T,1.6,2.658
19.7,T,0.0,0.722
22.0,T,8.4,4.778
20.5,5.0,0.1,1.511
16.8,0.0,8.5,4.703
16.8,0.0,9.3,4.872
