期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
24.1,0.0,0.9,3.767
25.8,0.0,7.7,7.05
26.9,1.5,8.9,7.081
27.3,0.0,10.4,7.667
27.8,0.0,6.7,6.2
28.6,0.0,9.2,6.547
27.2,2.5,1.2,2.175
22.9,10.5,0.1,2.85
22.0,T,0.0,1.097
23.0,T,0.6,4.019
24.1,0.0,2.6,4.344
24.9,T,1.2,3.281
24.0,1.0,0.2,2.342
22.1,8.0,0.0,0.961
21.9,18.5,0.0,1.708
23.1,1.5,0.0,3.556
25.5,T,5.1,6.025
27.2,0.0,8.3,5.967
27.7,T,7.9,6.189
26.2,T,1.2,2.889
27.8,0.0,7.2,6.644
28.2,0.0,11.5,7.406
23.9,4.5,0.0,1.35
23.8,T,0.1,2.783
26.5,1.0,7.9,6.611
26.5,24.5,3.4,5.169
25.4,16.5,0.1,3.242
26.9,0.0,12.4,7.983
28.4,0.0,7.1,5.967
29.5,3.5,4.7,5.328
29.8,T,2.8,4.003
29.1,0.0,7.9,6.558
28.5,0.5,5.5,4.664
28.3,6.5,6.0,6.244
28.4,13.5,10.8,7.567
28.4,3.5,10.0,7.497
28.3,8.5,7.9,6.978
28.0,0.5,3.5,5.433
27.2,0.5,1.2,2.903
28.4,1.0,7.4,5.978
28.1,0.0,4.1,4.611
28.1,0.0,1.8,3.339
26.4,15.5,0.0,1.128
26.0,2.5,0.1,2.103
27.4,4.0,0.5,3.242
26.3,37.0,0.5,2.339
26.3,12.0,0.0,2.342
27.8,0.0,4.4,5.047
29.2,0.0,10.4,7.339
29.8,0.0,12.1,7.917
29.3,0.0,10.7,7.419
29.5,0.0,12.2,7.994
29.4,0.0,12.0,7.461
29.0,8.5,7.4,6.325
28.8,0.0,8.6,6.964
29.2,0.0,11.8,7.95
29.1,0.0,9.6,7.353
28.3,3.5,4.0,4.75
26.8,31.0,0.0,2.319
26.7,52.0,0.8,2.711
28.8,0.0,10.1,7.128
29.2,0.0,8.3,6.522
29.4,0.0,11.4,7.75
29.7,0.0,6.3,5.833
29.7,0.0,12.4,7.925
29.7,0.0,11.7,7.703
29.8,0.0,10.1,6.361
29.7,0.0,12.4,7.95
30.0,0.0,12.4,7.911
29.9,0.0,12.3,7.969
30.0,0.0,12.3,7.772
29.8,0.0,9.9,7.219
29.8,0.0,11.4,7.722
29.9,0.0,10.6,7.611
29.8,T,7.6,5.9
29.8,3.0,11.4,7.706
27.5,13.0,0.5,2.036
29.6,0.0,11.3,7.317
29.1,9.5,0.2,3.667
28.0,25.5,5.4,4.303
29.0,T,11.6,7.831
29.3,0.0,11.9,7.778
29.6,0.0,12.0,7.681
29.8,0.5,12.0,7.706
29.9,T,11.7,7.933
29.0,26.5,8.4,6.633
26.5,185.0,0.0,1.142
26.6,111.0,0.0,0.869
26.5,13.0,0.0,1.497
27.1,44.5,3.0,4.908
28.4,3.5,8.9,6.314
28.7,1.5,9.9,7.156
28.8,0.0,9.5,7.256
29.7,0.0,9.1,6.517
33.0,0.0,3.2,4.517
30.8,T,0.3,1.894
28.9,8.0,0.0,1.106
29.1,0.5,5.0,4.389
29.8,0.0,11.7,7.531
28.9,1.0,3.4,3.694
29.0,1.5,6.4,5.822
29.2,0.0,4.7,4.964
29.1,0.0,5.0,5.556
29.0,0.0,8.9,7.186
29.2,0.0,11.9,7.644
29.5,0.0,10.1,7.022
30.1,0.0,11.4,7.544
29.5,0.0,8.2,6.622
27.6,2.0,0.4,0.975
27.4,T,1.0,3.117
28.0,T,4.8,4.408
28.3,69.0,5.2,5.258
28.8,0.0,8.8,7.031
29.3,0.0,9.4,6.822
29.8,0.0,10.3,7.25
29.2,5.5,7.9,6.211
29.3,T,10.2,7.139
29.3,0.0,8.9,6.456
29.2,0.0,9.9,7.083
29.6,0.0,11.8,7.456
29.1,14.0,6.8,5.697
26.5,118.5,0.0,1.617
25.8,116.5,0.4,1.95
28.5,0.0,8.6,6.586
29.4,0.5,2.8,4.167
27.1,188.0,0.0,0.128
27.4,43.0,0.5,3.214
27.5,32.0,3.6,4.678
27.9,4.0,6.3,4.997
26.6,135.5,2.5,3.792
25.4,151.5,1.4,3.767
25.6,2.5,0.0,2.356
25.9,1.0,0.8,3.036
27.3,0.0,8.8,6.769
28.0,0.0,10.9,7.114
27.9,0.0,11.1,7.078
28.1,0.0,11.4,7.125
28.5,0.0,8.5,6.347
28.7,0.0,9.6,6.325
28.7,T,0.4,2.914
29.0,1.5,9.7,6.542
28.9,0.0,9.7,6.686
28.8,4.0,10.7,6.894
29.0,0.0,9.7,6.672
29.2,0.0,9.4,6.503
29.0,0.0,6.8,5.914
29.1,0.0,9.7,6.697
29.0,0.0,9.2,6.519
29.2,0.0,7.7,5.739
28.5,14.0,5.6,5.419
29.0,0.0,8.3,6.136
29.1,0.0,8.8,6.244
29.4,0.0,10.3,6.536
29.2,0.0,7.0,5.411
28.4,0.0,7.5,4.917
29.2,0.0,9.1,5.536
29.4,8.0,0.0,1.5
26.7,55.5,0.0,0.8
24.9,128.5,0.0,0.714
26.3,32.0,4.1,4.478
26.7,7.0,1.9,3.806
27.4,0.0,10.4,6.394
26.8,0.5,3.0,3.847
26.2,0.0,3.7,4.161
26.2,0.0,4.3,3.983
26.3,T,7.4,5.431
25.2,T,0.4,2.039
24.2,T,0.1,1.517
24.5,T,0.0,1.939
24.3,T,0.0,1.231
25.8,T,0.0,2.517
26.8,0.0,6.1,4.931
26.5,0.0,6.9,4.892
25.4,0.0,1.7,3.797
25.4,T,5.1,4.422
25.2,10.5,1.8,3.45
26.3,T,7.3,5.367
26.9,T,7.8,5.289
26.5,T,5.4,4.258
25.8,T,2.6,3.322
24.2,T,1.8,2.8
24.7,T,1.3,2.806
24.5,T,1.7,3.081
25.0,0.5,6.0,4.642
25.3,0.0,7.5,4.581
25.9,0.0,8.2,5.181
25.9,0.0,9.0,5.422
26.3,0.0,8.8,5.203
26.1,T,4.1,4.169
26.5,0.0,3.9,3.914
24.8,T,0.3,1.95
25.1,0.0,5.7,4.169
25.8,0.0,7.6,4.628
27.0,0.0,7.0,4.606
26.2,0.0,4.3,4.031
24.9,0.0,4.8,3.856
22.7,T,5.5,4.194
22.4,0.0,0.3,2.422
22.9,1.0,4.0,3.858
23.8,T,3.5,3.667
19.9,T,0.0,1.006
19.7,0.0,4.2,4.289
20.7,0.0,8.4,4.833
22.6,0.0,7.9,4.803
23.0,0.0,5.8,4.178
23.5,0.0,6.6,4.156
23.5,0.0,10.1,5.039
23.0,0.0,7.2,4.044
22.4,T,4.6,4.136
22.6,0.0,6.6,4.906
23.0,0.0,2.4,3.653
22.8,T,2.8,2.161
23.5,0.0,2.2,3.336
24.3,0.0,1.5,3.331
22.4,0.0,0.5,2.583
22.0,0.0,3.3,3.936
23.0,0.0,0.5,2.739
23.9,T,3.7,4.156
22.7,T,0.4,2.472
22.9,0.0,1.3,3.503
21.5,0.0,0.6,1.644
21.9,0.0,1.1,2.75
24.0,0.0,4.9,4.525
24.3,1.0,0.6,3.275
24.8,8.5,2.3,3.319
24.3,0.0,1.8,2.994
23.5,0.0,4.2,4.189
24.3,0.0,5.8,4.7
24.6,0.0,8.8,5.447
21.4,T,3.5,2.739
18.8,T,0.0,2.417
21.4,0.0,6.1,4.892
22.9,0.5,0.5,3.078
19.4,2.0,0.0,1.869
18.5,0.0,0.0,1.994
15.5,0.0,0.0,1.311
17.1,T,0.0,1.656
19.5,T,4.4,4.014
18.1,0.0,4.7,4.336
19.2,0.0,4.2,4.256
21.3,T,0.4,3.042
21.6,3.5,0.3,2.486
22.7,0.0,2.0,3.367
22.6,T,0.5,2.492
22.5,0.0,0.0,2.05
19.5,0.0,0.0,1.428
20.8,0.0,3.6,3.942
20.7,0.0,3.7,3.856
18.5,0.0,1.4,3.492
20.1,0.0,4.0,3.614
21.3,T,2.7,3.683
19.7,0.0,0.0,1.306
20.3,0.0,3.1,3.961
21.7,0.0,1.8,2.856
20.5,0.0,4.3,4.167
17.9,0.0,4.1,4.047
19.1,T,5.5,4.3
19.4,0.5,1.9,3.5
20.8,0.0,0.8,2.986
20.9,2.0,7.7,5.164
19.2,1.0,0.0,1.603
20.0,1.0,3.7,4.203
21.2,T,1.4,3.556
22.2,3.5,3.1,4.172
23.2,3.5,9.1,5.783
20.4,T,0.0,1.808
