"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.7","999.8","999.6","2023/06/01 22:17:00","995.1","2023/06/01 04:03:00","26.4","29.0","2023/06/01 16:45:00","25.2","2023/06/01 01:45:00","23.8","86","66","2023/06/01 17:29:00","4.0","330","14.5","320","2023/06/01 13:04:00","T","0.6","T","2023/06/01 06:41:00","T","2023/06/01 06:41:00","2.3","17.0","10.95","10.2","/","5","2023/06/01 13:00:00","8.8"
"02","1001.9","1005.0","1006.0","2023/06/02 22:04:00","999.0","2023/06/02 01:52:00","28.6","34.0","2023/06/02 14:39:00","25.2","2023/06/02 05:10:00","24.2","78","54","2023/06/02 13:41:00","2.9","230","11.9","230","2023/06/02 12:23:00","T","0.4","T","2023/06/02 02:11:00","T","2023/06/02 02:11:00","7.4","54.6","23.33","24.0","5.4","11","2023/06/02 12:00:00","5.0"
"03","1006.2","1009.3","1008.2","2023/06/03 22:22:00","1004.3","2023/06/03 02:24:00","27.9","31.4","2023/06/03 09:49:00","26.6","2023/06/03 04:38:00","24.2","80","68","2023/06/03 09:49:00","2.5","40","11.6","20","2023/06/03 12:58:00","0.0","0.0","0.0","--","0.0","--","6.5","47.9","21.19","16.2","6.6","12","2023/06/03 12:00:00","7.0"
"04","1006.8","1009.8","1008.0","2023/06/04 22:49:00","1005.6","2023/06/04 14:46:00","27.5","30.2","2023/06/04 12:46:00","26.1","2023/06/04 18:04:00","24.6","84","71","2023/06/04 09:36:00","1.5","20","6.7","90","2023/06/04 12:56:00","2.0","2.9","1.0","2023/06/04 17:48:00","2.0","2023/06/04 17:48:00","1.0","7.4","9.65","14.0","/","8","2023/06/04 11:00:00","10.0"
"05","1005.9","1009.0","1007.7","2023/06/05 00:01:00","1004.4","2023/06/05 16:31:00","27.9","31.2","2023/06/05 09:56:00","24.7","2023/06/05 03:02:00","24.7","83","68","2023/06/05 09:56:00","2.3","30","7.5","20","2023/06/05 10:49:00","11.5","2.6","3.0","2023/06/05 00:26:00","8.5","2023/06/05 00:12:00","7.7","56.7","23.46","22.0","5.8","10","2023/06/05 12:00:00","5.0"
"06","1005.5","1008.6","1007.6","2023/06/06 22:35:00","1004.1","2023/06/06 16:32:00","28.7","32.1","2023/06/06 10:01:00","26.2","2023/06/06 05:09:00","24.5","78","59","2023/06/06 10:00:00","2.3","30","8.2","30","2023/06/06 10:31:00","0.0","0.0","0.0","--","0.0","--","11.9","87.5","26.93","23.0","4.5","10","2023/06/06 13:00:00","3.0"
"07","1006.6","1009.7","1007.4","2023/06/07 00:01:00","1005.2","2023/06/07 17:27:00","28.4","30.1","2023/06/07 18:43:00","26.1","2023/06/07 04:34:00","24.8","81","72","2023/06/07 16:29:00","1.7","40","6.1","40","2023/06/07 13:13:00","0.0","0.0","0.0","--","0.0","--","6.2","45.6","20.94","15.4","5.1","12","2023/06/07 12:00:00","7.8"
"08","1004.4","1007.4","1006.9","2023/06/08 00:26:00","1002.6","2023/06/08 16:01:00","28.9","33.1","2023/06/08 10:26:00","26.8","2023/06/08 05:32:00","25.0","80","59","2023/06/08 10:26:00","2.0","360","7.6","220","2023/06/08 09:15:00","0.0","0.0","0.0","--","0.0","--","3.9","28.7","19.09","13.2","-6.0","10","2023/06/08 12:00:00","7.8"
"09","1002.1","1005.2","1003.5","2023/06/09 00:01:00","1000.8","2023/06/09 14:52:00","27.2","29.4","2023/06/09 08:17:00","23.8","2023/06/09 04:09:00","25.0","88","76","2023/06/09 09:53:00","1.9","240","8.8","240","2023/06/09 12:15:00","73.0","4.5","18.5","2023/06/09 12:16:00","30.0","2023/06/09 03:21:00","2.8","20.6","15.34","19.0","-3.3","7","2023/06/09 14:00:00","9.4"
"10","999.8","1002.9","1001.6","2023/06/10 00:01:00","998.7","2023/06/10 04:47:00","26.7","29.4","2023/06/10 11:21:00","25.0","2023/06/10 23:52:00","24.5","88","75","2023/06/10 11:16:00","1.8","200","7.5","190","2023/06/10 17:18:00","27.0","2.7","12.0","2023/06/10 17:14:00","15.5","2023/06/10 17:14:00","1.5","11.0","14.05","14.8","-3.5","8","2023/06/10 13:00:00","9.8"
"11","999.7","1002.7","1000.8","2023/06/11 21:29:00","998.1","2023/06/11 02:40:00","26.4","29.2","2023/06/11 09:53:00","24.4","2023/06/11 03:35:00","24.0","87","71","2023/06/11 09:43:00","1.3","20","5.6","10","2023/06/11 13:57:00","1.0","3.2","0.5","2023/06/11 10:46:00","0.5","2023/06/11 10:46:00","0.3","2.2","11.04","18.0","-1.1","5","2023/06/11 14:00:00","9.8"
"12","1000.4","1003.4","1001.7","2023/06/12 08:28:00","999.4","2023/06/12 13:51:00","25.6","27.5","2023/06/12 11:55:00","24.3","2023/06/12 23:41:00","23.2","86","74","2023/06/12 18:46:00","1.7","40","6.4","150","2023/06/12 19:06:00","3.5","2.8","2.0","2023/06/12 09:44:00","3.5","2023/06/12 09:08:00","0.0","0.0","6.21","14.4","-0.6","4","2023/06/12 12:00:00","10.0"
"13","999.7","1002.7","1001.4","2023/06/13 21:46:00","998.5","2023/06/13 04:20:00","26.3","28.6","2023/06/13 13:10:00","23.8","2023/06/13 04:59:00","22.6","80","62","2023/06/13 11:05:00","1.8","30","6.6","10","2023/06/13 13:23:00","0.0","0.0","0.0","--","0.0","--","9.8","71.9","25.41","20.0","5.2","11","2023/06/13 13:00:00","8.0"
"14","1002.3","1005.3","1005.5","2023/06/14 21:14:00","999.3","2023/06/14 02:44:00","26.3","28.3","2023/06/14 08:56:00","23.7","2023/06/14 20:50:00","23.8","86","73","2023/06/14 09:12:00","2.3","10","10.7","10","2023/06/14 20:21:00","3.0","2.1","1.0","2023/06/14 20:23:00","2.0","2023/06/14 19:50:00","2.5","18.3","15.34","18.0","-2.5","8","2023/06/14 12:00:00","8.6"
"15","1006.1","1009.2","1007.8","2023/06/15 21:10:00","1004.1","2023/06/15 01:53:00","24.7","25.2","2023/06/15 14:00:00","23.8","2023/06/15 05:32:00","23.1","91","83","2023/06/15 12:58:00","1.9","50","7.1","40","2023/06/15 15:15:00","2.0","3.9","0.5","2023/06/15 04:16:00","1.0","2023/06/15 04:16:00","0.0","0.0","5.32","12.6","-1.0","4","2023/06/15 13:00:00","10.0"
"16","1006.5","1009.6","1008.4","2023/06/16 22:50:00","1005.2","2023/06/16 04:45:00","26.4","29.4","2023/06/16 13:30:00","24.8","2023/06/16 00:48:00","24.6","91","70","2023/06/16 13:40:00","1.4","10","5.4","20","2023/06/16 13:19:00","9.5","8.2","1.5","2023/06/16 14:49:00","4.0","2023/06/16 14:42:00","1.0","7.3","14.35","17.0","-1.3","9","2023/06/16 13:00:00","10.0"
"17","1007.7","1010.8","1009.0","2023/06/17 10:13:00","1006.3","2023/06/17 15:22:00","27.0","30.2","2023/06/17 14:50:00","25.0","2023/06/17 04:37:00","25.4","91","77","2023/06/17 14:20:00","1.0","210","4.7","50","2023/06/17 15:38:00","0.5","4.2","0.5","2023/06/17 03:30:00","0.5","2023/06/17 03:30:00","0.4","2.9","9.57","15.0","-2.1","6","2023/06/17 15:00:00","10.0"
"18","1005.8","1008.8","1008.0","2023/06/18 00:01:00","1003.7","2023/06/18 15:54:00","28.8","32.1","2023/06/18 10:09:00","26.1","2023/06/18 05:07:00","25.3","82","63","2023/06/18 10:09:00","2.0","30","9.0","250","2023/06/18 10:34:00","0.0","0.0","0.0","--","0.0","--","1.8","13.2","15.83","20.0","2.8","8","2023/06/18 11:00:00","9.2"
"19","1003.0","1006.0","1005.0","2023/06/19 08:15:00","1001.2","2023/06/19 15:35:00","29.6","33.1","2023/06/19 13:58:00","26.5","2023/06/19 04:21:00","24.3","74","57","2023/06/19 12:10:00","2.6","200","10.6","210","2023/06/19 10:23:00","0.0","0.0","0.0","--","0.0","--","1.6","11.7","15.26","20.0","6.8","10","2023/06/19 12:00:00","8.6"
"20","1002.0","1005.0","1003.5","2023/06/20 22:34:00","1000.9","2023/06/20 15:44:00","30.6","35.6","2023/06/20 12:06:00","28.0","2023/06/20 23:09:00","24.4","70","47","2023/06/20 11:17:00","3.3","20","17.3","210","2023/06/20 07:36:00","0.0","0.0","0.0","--","0.0","--","10.7","78.4","26.21","25.0","7.6","12","2023/06/20 12:00:00","5.6"
"21","1002.9","1005.9","1005.0","2023/06/21 21:52:00","1001.3","2023/06/21 15:43:00","30.6","34.9","2023/06/21 13:13:00","28.0","2023/06/21 00:52:00","24.8","72","52","2023/06/21 11:30:00","3.3","220","14.3","220","2023/06/21 07:14:00","0.0","0.0","0.0","--","0.0","--","11.0","80.6","26.05","27.0","--","12","2023/06/21 12:00:00","4.8"
"22","1004.2","1007.2","1006.2","2023/06/22 22:48:00","1003.2","2023/06/22 15:40:00","29.9","33.9","2023/06/22 10:14:00","27.5","2023/06/22 05:08:00","25.2","77","54","2023/06/22 09:54:00","2.1","30","11.2","220","2023/06/22 09:51:00","0.0","0.0","0.0","--","0.0","--","5.4","39.6","19.18","24.0","4.7","10","2023/06/22 11:00:00","6.6"
"23","1005.7","1008.7","1007.1","2023/06/23 21:29:00","1004.5","2023/06/23 01:45:00","28.4","31.6","2023/06/23 09:04:00","26.8","2023/06/23 04:53:00","25.3","84","67","2023/06/23 09:05:00","2.0","40","7.5","20","2023/06/23 12:26:00","T","1.8","T","2023/06/23 15:25:00","T","2023/06/23 15:25:00","5.7","41.8","19.71","17.6","-4.7","11","2023/06/23 13:00:00","8.0"
"24","1006.1","1009.2","1008.8","2023/06/24 21:52:00","1004.6","2023/06/24 14:43:00","28.7","32.7","2023/06/24 14:34:00","26.1","2023/06/24 04:06:00","24.4","78","54","2023/06/24 11:58:00","2.7","210","8.5","360","2023/06/24 16:03:00","0.5","0.8","0.5","2023/06/24 18:05:00","0.5","2023/06/24 18:05:00","9.9","72.5","26.95","20.2","-7.3","12","2023/06/24 12:00:00","5.4"
"25","1006.8","1009.9","1008.2","2023/06/25 21:29:00","1005.8","2023/06/25 16:19:00","29.4","32.7","2023/06/25 10:05:00","26.0","2023/06/25 04:54:00","24.0","74","56","2023/06/25 09:38:00","2.1","360","7.5","10","2023/06/25 13:08:00","0.0","0.0","0.0","--","0.0","--","7.2","52.8","19.22","27.0","5.5","10","2023/06/25 14:00:00","8.2"
