"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"10","1006.4","1017.3","1007.7","2023/05/10 08:30:00","1004.7","2023/05/10 16:43:00","18.2","22.0","2023/05/10 12:47:00","15.5","2023/05/10 04:03:00","14.9","82","60","2023/05/10 10:06:00","3.4","360","9.1","20","2023/05/10 04:39:00","0.0","0.0","0.0","--","0.0","--","10.4","78.6","26.95","27.0","4.8","12","2023/05/10 12:00:00","1.4","19.4","20.1","20.3","21.5","21.6"
"11","1006.6","1017.6","1008.1","2023/05/11 10:10:00","1005.6","2023/05/11 03:12:00","18.4","20.8","2023/05/11 13:27:00","17.5","2023/05/11 01:52:00","14.4","78","48","2023/05/11 18:05:00","3.3","20","9.3","10","2023/05/11 09:39:00","0.0","0.0","0.0","--","0.0","--","0.7","5.3","12.80","34.0","3.8","8","2023/05/11 14:00:00","10.0","19.8","20.5","20.7","21.9","22.0"
"12","1005.4","1016.3","1006.9","2023/05/12 08:00:00","1003.6","2023/05/12 17:14:00","18.3","21.2","2023/05/12 14:05:00","16.8","2023/05/12 05:52:00","16.5","89","67","2023/05/12 00:19:00","2.2","10","8.4","20","2023/05/12 04:39:00","0.0","0.0","0.0","--","0.0","--","0.1","0.8","7.49","16.0","1.9","4","2023/05/12 13:00:00","10.0","19.6","20.2","20.4","21.5","21.6"
"13","1003.9","1014.8","1006.0","2023/05/13 08:09:00","1001.9","2023/05/13 15:38:00","19.7","23.1","2023/05/13 12:52:00","17.5","2023/05/13 04:51:00","18.6","94","81","2023/05/13 21:44:00","1.0","240","3.8","90","2023/05/13 12:35:00","0.0","0.0","0.0","--","0.0","--","1.2","9.0","15.56","9.2","-3.1","8","2023/05/13 13:00:00","9.6","20.8","21.0","21.0","21.6","21.6"
"14","1001.5","1012.3","1003.2","2023/05/14 08:23:00","999.9","2023/05/14 17:07:00","20.5","21.9","2023/05/14 10:44:00","18.5","2023/05/14 01:18:00","18.1","87","69","2023/05/14 19:33:00","1.2","340","4.5","200","2023/05/14 22:57:00","T","0.5","T","2023/05/14 04:02:00","T","2023/05/14 04:02:00","0.0","0.0","7.39","14.0","-1.7","4","2023/05/14 13:00:00","10.0","20.7","21.1","21.2","21.9","21.9"
"15","1000.5","1011.3","1001.9","2023/05/15 09:02:00","999.1","2023/05/15 16:39:00","21.3","25.5","2023/05/15 14:40:00","18.7","2023/05/15 02:59:00","20.4","95","79","2023/05/15 13:38:00","1.0","110","4.2","110","2023/05/15 17:53:00","0.0","0.0","0.0","--","0.0","--","4.3","32.3","18.96","6.6","4.0","9","2023/05/15 13:00:00","9.6","21.8","21.9","21.8","22.1","22.0"
"16","1000.4","1011.2","1002.0","2023/05/16 09:14:00","999.2","2023/05/16 03:35:00","21.3","25.1","2023/05/16 12:16:00","19.2","2023/05/16 02:38:00","20.8","97","79","2023/05/16 10:24:00","1.7","20","5.0","20","2023/05/16 03:26:00","0.0","0.0","0.0","--","0.0","--","3.4","25.5","16.57","5.9","-2.1","9","2023/05/16 11:00:00","8.0","22.2","22.5","22.4","22.8","22.7"
"17","997.8","1008.5","1000.2","2023/05/17 08:10:00","994.9","2023/05/17 23:53:00","23.3","25.5","2023/05/17 12:32:00","20.8","2023/05/17 00:01:00","22.8","97","86","2023/05/17 12:26:00","3.6","180","14.1","180","2023/05/17 23:44:00","T","1.0","T","2023/05/17 08:17:00","T","2023/05/17 08:17:00","2.4","18.0","14.37","8.2","-3.6","9","2023/05/17 13:00:00","9.6","22.9","23.1","22.9","23.2","23.1"
"18","995.0","1005.6","997.5","2023/05/18 22:27:00","992.9","2023/05/18 15:42:00","25.3","28.7","2023/05/18 13:32:00","23.4","2023/05/18 04:24:00","24.9","98","86","2023/05/18 12:14:00","6.2","220","15.7","210","2023/05/18 03:06:00","0.5","1.0","0.5","2023/05/18 02:50:00","0.5","2023/05/18 02:50:00","8.5","63.6","23.29","10.2","4.9","10","2023/05/18 13:00:00","6.6","24.5","24.4","24.0","23.8","23.6"
"19","999.9","1010.6","1002.3","2023/05/19 22:58:00","996.4","2023/05/19 01:28:00","22.3","25.0","2023/05/19 13:28:00","20.8","2023/05/19 21:45:00","21.6","96","83","2023/05/19 14:55:00","2.9","50","9.9","60","2023/05/19 04:11:00","0.0","0.0","0.0","--","0.0","--","1.9","14.2","15.41","8.0","3.6","8","2023/05/19 14:00:00","9.2","23.7","24.0","23.9","24.3","24.2"
"20","1001.0","1011.8","1002.2","2023/05/20 10:11:00","999.6","2023/05/20 16:26:00","21.6","23.8","2023/05/20 11:53:00","20.1","2023/05/20 04:20:00","20.1","91","81","2023/05/20 11:55:00","1.6","10","6.9","80","2023/05/20 00:36:00","0.0","0.0","0.0","--","0.0","--","0.1","0.7","11.37","16.0","-2.4","7","2023/05/20 12:00:00","10.0","22.9","23.4","23.5","24.1","24.1"
"21","998.6","1009.3","1001.0","2023/05/21 00:01:00","996.2","2023/05/21 16:55:00","24.0","26.9","2023/05/21 13:01:00","21.2","2023/05/21 00:01:00","22.4","91","81","2023/05/21 13:02:00","3.8","220","15.6","200","2023/05/21 21:57:00","T","0.4","T","2023/05/21 03:01:00","T","2023/05/21 03:01:00","2.2","16.4","12.78","10.4","-3.3","10","2023/05/21 13:00:00","9.6","23.8","24.0","23.8","24.1","24.0"
"22","996.5","1007.1","1001.6","2023/05/22 23:42:00","994.4","2023/05/22 05:29:00","24.1","27.2","2023/05/22 10:07:00","18.9","2023/05/22 21:54:00","22.8","93","82","2023/05/22 23:55:00","6.8","210","14.5","200","2023/05/22 02:09:00","1.5","2.8","0.5","2023/05/22 03:45:00","1.0","2023/05/22 03:45:00","3.2","23.8","16.90","7.6","-4.6","9","2023/05/22 11:00:00","9.8","24.3","24.7","24.5","24.6","24.4"
"23","1003.0","1013.8","1004.1","2023/05/23 21:12:00","1000.7","2023/05/23 00:57:00","20.0","22.9","2023/05/23 12:00:00","18.1","2023/05/23 03:03:00","14.8","72","57","2023/05/23 19:26:00","4.3","80","12.7","70","2023/05/23 01:34:00","T","0.8","T","2023/05/23 00:03:00","T","2023/05/23 00:03:00","0.2","1.5","14.60","10.0","5.3","9","2023/05/23 12:00:00","10.0","21.0","22.0","22.5","23.7","23.8"
"24","1002.3","1013.1","1003.5","2023/05/24 22:52:00","1001.0","2023/05/24 16:24:00","20.3","23.7","2023/05/24 12:25:00","19.0","2023/05/24 04:50:00","16.5","79","66","2023/05/24 00:01:00","2.9","10","7.8","10","2023/05/24 06:41:00","T","0.1","T","2023/05/24 09:40:00","T","2023/05/24 09:40:00","3.3","24.5","16.77","14.0","-3.1","10","2023/05/24 13:00:00","8.6","21.8","22.3","22.4","23.3","23.5"
"25","1003.6","1014.4","1005.1","2023/05/25 22:58:00","1002.0","2023/05/25 15:42:00","21.7","26.3","2023/05/25 12:12:00","19.0","2023/05/25 02:22:00","19.3","87","68","2023/05/25 12:13:00","2.0","80","6.2","80","2023/05/25 13:44:00","0.0","0.0","0.0","--","0.0","--","10.6","78.7","26.25","16.0","5.2","11","2023/05/25 12:00:00","2.4","23.3","23.5","23.4","23.9","23.8"
"26","1003.5","1014.2","1005.1","2023/05/26 08:45:00","1001.7","2023/05/26 16:24:00","22.9","26.9","2023/05/26 12:13:00","20.6","2023/05/26 05:24:00","21.2","90","70","2023/05/26 11:04:00","2.0","360","5.5","10","2023/05/26 00:17:00","0.0","0.0","0.0","--","0.0","--","8.6","63.8","22.45","14.6","4.8","10","2023/05/26 12:00:00","6.8","24.6","24.7","24.6","25.0","24.8"
"27","1002.7","1013.4","1003.6","2023/05/27 09:21:00","1001.7","2023/05/27 16:45:00","23.8","27.5","2023/05/27 10:50:00","22.0","2023/05/27 23:24:00","22.5","92","79","2023/05/27 10:50:00","2.9","20","8.7","50","2023/05/27 08:02:00","0.0","0.0","0.0","--","0.0","--","8.7","64.4","24.42","18.0","5.3","11","2023/05/27 13:00:00","4.4","25.5","25.6","25.5","25.7","25.6"
"28","1001.3","1012.0","1002.7","2023/05/28 00:01:00","999.8","2023/05/28 16:03:00","23.6","26.4","2023/05/28 12:49:00","21.6","2023/05/28 04:11:00","22.1","91","77","2023/05/28 12:05:00","3.3","360","9.9","80","2023/05/28 20:22:00","0.0","0.0","0.0","--","0.0","--","1.6","11.8","16.31","26.0","4.7","7","2023/05/28 13:00:00","9.4","25.1","25.4","25.4","26.0","25.9"
"29","999.1","1009.8","1001.3","2023/05/29 00:01:00","997.4","2023/05/29 16:34:00","24.0","27.7","2023/05/29 13:25:00","22.7","2023/05/29 05:13:00","23.2","95","81","2023/05/29 13:26:00","3.7","10","9.5","30","2023/05/29 05:25:00","0.0","0.0","0.0","--","0.0","--","6.2","45.8","20.75","22.2","7.0","10","2023/05/29 14:00:00","6.2","25.4","25.7","25.6","26.1","26.0"
"30","996.1","1006.7","998.6","2023/05/30 00:01:00","993.4","2023/05/30 16:38:00","24.6","28.2","2023/05/30 11:11:00","23.0","2023/05/30 01:59:00","23.3","92","77","2023/05/30 13:52:00","4.2","20","11.0","70","2023/05/30 17:45:00","0.0","0.0","0.0","--","0.0","--","10.1","74.6","27.42","19.0","6.7","12","2023/05/30 12:00:00","4.4","26.2","26.2","26.2","26.5","26.5"
"31","993.6","1004.1","995.0","2023/05/31 09:26:00","992.1","2023/05/31 16:56:00","24.6","27.1","2023/05/31 12:15:00","23.3","2023/05/31 03:17:00","23.1","92","81","2023/05/31 12:16:00","5.3","30","14.4","20","2023/05/31 23:34:00","0.0","0.0","0.0","--","0.0","--","7.4","54.6","23.16","26.0","6.0","13","2023/05/31 13:00:00","6.2","26.0","26.3","26.4","27.0","27.0"
