"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","UVI Max","UVI Max Time","Cloud Amount"
"01","997.3","1000.4","1001.1","2023/06/01 22:52:00","994.1","2023/06/01 03:56:00","28.6","32.2","2023/06/01 15:31:00","26.5","2023/06/01 03:25:00","23.7","75","58","2023/06/01 14:39:00","6.0","350","17.1","20","2023/06/01 09:23:00","0.0","0.0","0.0","--","0.0","--","7.0","52.2","21.74","26.4","12","2023/06/01 12:00:00","5.2"
"02","1003.1","1006.1","1005.9","2023/06/02 22:48:00","1000.9","2023/06/02 00:22:00","29.4","33.2","2023/06/02 10:57:00","26.7","2023/06/02 04:23:00","25.1","79","61","2023/06/02 09:28:00","2.6","210","7.5","260","2023/06/02 14:47:00","0.0","0.0","0.0","--","0.0","--","10.8","80.4","25.92","17.4","12","2023/06/02 13:00:00","3.4"
"03","1006.5","1009.6","1008.2","2023/06/03 21:46:00","1004.9","2023/06/03 03:07:00","29.0","32.2","2023/06/03 13:47:00","27.2","2023/06/03 09:19:00","25.0","80","60","2023/06/03 13:57:00","2.0","180","8.1","250","2023/06/03 12:49:00","9.0","1.8","4.0","2023/06/03 08:38:00","9.0","2023/06/03 08:31:00","4.2","31.0","18.28","17.2","12","2023/06/03 13:00:00","8.4"
"04","1007.1","1010.1","1008.3","2023/06/04 22:43:00","1005.4","2023/06/04 15:22:00","30.0","33.7","2023/06/04 12:24:00","27.0","2023/06/04 03:59:00","23.9","71","56","2023/06/04 12:20:00","2.7","20","9.5","290","2023/06/04 14:32:00","0.0","0.0","0.0","--","0.0","--","7.0","52.1","23.22","19.2","11","2023/06/04 13:00:00","5.8"
"05","1007.0","1010.1","1008.9","2023/06/05 22:12:00","1005.4","2023/06/05 15:40:00","29.5","32.9","2023/06/05 11:27:00","27.5","2023/06/05 04:42:00","24.8","76","61","2023/06/05 00:25:00","2.5","190","9.4","270","2023/06/05 12:48:00","0.0","0.0","0.0","--","0.0","--","7.8","58.0","23.24","14.0","11","2023/06/05 12:00:00","5.6"
"06","1006.8","1009.8","1009.0","2023/06/06 22:10:00","1005.1","2023/06/06 15:44:00","29.6","32.5","2023/06/06 12:55:00","27.0","2023/06/06 05:04:00","24.4","74","60","2023/06/06 13:44:00","3.1","210","10.8","200","2023/06/06 13:44:00","0.0","0.0","0.0","--","0.0","--","11.1","82.5","26.72","32.0","13","2023/06/06 13:00:00","2.6"
"07","1007.5","1010.6","1008.6","2023/06/07 00:01:00","1006.0","2023/06/07 16:40:00","29.5","32.4","2023/06/07 13:31:00","27.2","2023/06/07 04:01:00","24.8","76","60","2023/06/07 13:31:00","3.3","160","9.5","250","2023/06/07 12:34:00","0.0","0.0","0.0","--","0.0","--","11.1","82.4","26.41","28.0","12","2023/06/07 13:00:00","7.0"
"08","1005.7","1008.8","1008.3","2023/06/08 00:01:00","1003.5","2023/06/08 15:53:00","29.5","32.5","2023/06/08 10:38:00","27.8","2023/06/08 04:54:00","24.7","76","61","2023/06/08 10:26:00","3.3","200","11.2","240","2023/06/08 14:11:00","0.0","0.0","0.0","--","0.0","--","10.3","76.5","24.46","21.6","14","2023/06/08 12:00:00","6.6"
"09","1002.9","1005.9","1005.0","2023/06/09 00:02:00","1000.7","2023/06/09 16:22:00","29.9","32.5","2023/06/09 12:20:00","27.7","2023/06/09 04:44:00","25.0","75","60","2023/06/09 11:53:00","2.2","250","8.4","270","2023/06/09 12:35:00","0.0","0.0","0.0","--","0.0","--","10.0","74.2","23.86","32.0","12","2023/06/09 13:00:00","7.0"
