期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
22.8,T,0.0,2.25
24.9,0.0,6.5,6.194
26.0,4.0,7.9,6.45
26.2,6.0,7.8,6.758
26.9,1.0,8.7,7.025
27.5,0.5,8.1,6.814
24.8,3.5,0.4,2.458
21.8,1.0,0.0,1.481
21.3,T,0.0,1.611
21.8,0.0,3.2,3.672
23.6,0.0,5.6,6.064
23.7,0.5,3.9,3.781
22.6,12.5,0.0,1.383
21.7,1.0,0.0,1.111
22.6,1.0,0.0,2.836
23.8,T,4.1,5.267
24.9,0.0,5.9,6.458
26.4,0.0,4.3,3.95
25.3,13.5,2.0,2.331
23.6,3.0,0.0,1.275
26.2,0.0,3.8,5.181
27.1,1.0,7.5,6.022
22.5,6.5,0.0,0.883
23.3,T,1.9,3.442
26.0,0.0,6.4,6.028
25.7,38.5,3.2,4.667
24.5,12.5,0.0,3.014
26.3,0.0,10.3,7.264
28.3,0.0,8.0,7.036
28.1,17.0,1.1,2.431
28.5,4.0,2.6,4.111
28.6,0.0,9.7,6.772
27.8,2.5,4.0,5.042
27.4,55.5,5.4,5.858
27.2,37.0,6.9,6.303
28.0,1.0,8.3,7.144
27.4,17.0,9.0,7.125
27.2,1.5,8.1,6.119
27.4,1.0,8.0,6.664
26.6,138.5,4.3,5.422
26.3,8.0,1.0,3.489
27.0,1.0,4.6,5.019
25.6,76.0,0.5,1.969
26.1,T,2.1,3.956
26.8,13.0,2.2,4.072
24.6,24.0,0.0,1.311
26.3,16.5,0.4,3.411
27.2,T,0.0,2.761
28.3,0.0,3.1,5.436
29.0,0.0,8.8,6.839
28.8,0.0,12.0,7.761
28.9,0.0,12.3,7.719
29.4,0.0,9.1,6.939
29.1,T,9.4,6.519
28.8,0.0,9.8,6.911
28.7,T,10.2,7.269
28.7,0.0,11.2,7.775
28.5,T,10.2,7.325
26.6,8.5,0.0,2.197
27.7,T,7.4,6.767
27.6,40.5,4.3,5.136
27.9,0.0,4.5,5.242
28.7,0.0,11.1,7.728
28.3,T,7.1,5.772
29.4,0.0,11.6,7.731
29.7,0.0,12.2,7.686
29.6,0.0,12.4,7.706
29.7,0.0,12.5,7.842
29.8,0.0,12.1,7.864
29.2,0.0,10.1,7.378
29.3,0.0,11.0,7.658
29.4,0.0,10.3,7.372
29.3,0.0,11.3,7.592
29.3,0.0,10.5,7.439
29.5,0.0,11.1,7.417
29.4,T,11.1,7.425
29.1,0.5,5.9,6.144
29.5,0.0,10.6,7.286
28.3,17.0,6.8,5.614
28.4,0.5,7.4,6.622
29.0,0.0,10.4,7.167
29.0,0.0,10.2,7.211
29.3,0.0,11.5,7.803
29.3,0.0,11.3,7.472
29.7,0.0,11.6,7.603
29.0,13.5,6.4,4.628
26.4,233.0,0.0,0.775
25.6,202.0,0.0,1.442
25.5,22.0,0.0,1.903
27.0,1.5,4.3,5.344
27.9,0.0,7.3,5.692
28.3,0.0,6.3,5.228
28.4,0.0,9.3,6.711
28.7,0.0,9.3,6.539
28.3,T,0.0,1.828
28.9,T,0.8,2.8
28.4,T,0.6,2.286
28.9,0.0,12.0,7.475
29.7,0.0,11.3,7.406
29.5,T,6.2,5.811
29.5,0.0,4.5,4.628
29.6,0.0,9.7,7.214
28.2,3.5,4.1,4.047
28.8,0.0,8.7,7.056
29.1,0.0,10.0,6.947
29.5,0.0,9.4,6.886
29.6,0.0,10.6,7.167
28.0,4.5,2.7,3.606
27.4,3.0,5.6,4.378
26.4,0.5,1.2,4.161
27.5,T,7.8,6.217
28.1,T,7.5,5.711
28.4,0.0,8.5,6.717
29.1,0.0,9.4,7.011
29.7,0.0,10.0,7.047
29.0,5.0,9.4,6.636
29.0,0.0,10.8,6.992
29.0,0.0,9.2,6.683
29.0,0.0,9.6,6.997
29.1,0.0,11.0,7.214
29.0,14.0,9.0,6.775
27.0,44.0,2.3,3.197
26.2,73.0,2.0,2.725
28.4,T,7.9,5.933
29.9,T,6.4,5.814
27.3,170.0,0.0,0.4
26.8,120.5,0.0,1.028
27.4,29.5,6.8,5.417
27.7,12.0,7.5,5.853
26.4,5.5,2.1,3.547
25.0,1.5,2.9,4.075
25.7,T,4.3,5.228
25.8,0.0,4.9,5.486
26.4,0.0,10.3,6.819
27.1,0.0,11.1,7.036
27.0,0.0,11.3,6.942
27.4,0.0,11.3,6.886
27.7,0.0,9.4,6.556
28.0,0.0,8.3,5.986
27.9,0.0,3.3,4.694
28.3,0.0,10.3,6.703
28.3,0.0,10.8,6.811
28.3,0.0,9.3,6.497
28.5,0.0,10.0,6.539
28.8,0.0,10.5,6.658
28.5,T,7.7,5.636
28.4,0.0,11.1,6.703
28.5,0.0,11.2,6.719
29.0,T,9.5,6.444
28.0,14.0,4.3,4.767
28.6,0.0,8.6,5.881
28.8,0.0,8.7,5.739
29.1,0.0,9.3,6.114
28.5,0.0,4.8,4.828
27.5,0.0,4.0,3.764
28.4,0.0,6.9,4.831
28.7,16.0,0.2,1.9
26.6,36.0,0.0,1.242
25.7,34.0,1.8,3.469
26.0,2.5,3.4,3.511
26.2,52.5,2.0,3.656
26.2,8.5,7.0,5.353
24.7,29.0,0.4,2.103
25.5,0.5,0.6,3.078
25.4,T,2.3,3.886
25.1,T,3.3,3.611
24.1,0.5,0.2,1.981
23.2,2.0,0.0,1.286
23.0,0.5,0.0,0.664
23.0,T,0.0,0.958
24.9,0.0,0.7,3.194
25.7,T,5.0,4.236
25.4,1.5,3.0,3.656
23.9,T,0.0,1.433
23.8,T,0.7,3.228
23.8,9.5,1.1,2.806
25.6,0.5,7.0,5.383
25.2,31.0,5.4,4.669
24.4,13.5,5.7,4.375
23.6,13.0,1.3,2.061
21.4,17.0,0.0,0.958
22.8,T,0.2,2.314
22.8,26.5,0.0,1.483
23.6,2.0,1.4,2.789
23.8,14.5,2.2,2.944
24.7,0.0,7.3,4.831
24.7,0.0,9.4,5.267
25.0,0.0,10.0,5.314
25.0,T,0.0,2.206
26.0,T,7.0,4.522
23.6,T,0.0,1.506
24.1,0.0,0.6,2.783
25.4,0.0,9.0,4.997
25.6,1.0,7.9,4.731
24.7,T,1.6,3.083
23.8,0.0,1.2,2.7
21.2,0.0,0.1,1.658
21.1,5.0,0.4,2.236
21.8,0.5,1.5,2.975
22.5,T,5.8,4.356
18.7,T,0.0,0.472
18.9,0.0,4.9,3.203
19.5,0.0,9.8,4.889
21.4,T,6.6,4.353
22.0,0.0,5.4,3.606
22.2,0.0,5.1,3.664
22.6,0.5,9.2,4.728
22.2,0.0,2.0,1.539
21.3,T,0.3,2.578
20.9,2.5,1.1,2.625
22.2,T,3.5,3.444
22.3,0.5,1.4,3.178
22.0,0.0,6.2,4.422
22.4,T,0.0,2.344
20.3,T,0.0,1.45
20.3,T,0.0,2.186
21.2,0.5,0.4,2.45
22.5,5.5,1.8,2.881
20.4,8.0,0.0,1.35
20.5,1.5,0.0,1.242
20.1,T,0.1,1.539
20.4,0.0,8.8,4.642
22.1,0.0,8.3,4.492
23.3,T,0.1,2.519
24.3,T,1.5,2.681
22.7,T,0.0,1.053
22.2,T,1.8,2.872
22.7,0.0,7.7,4.486
23.6,0.0,9.4,4.703
19.7,T,0.2,1.133
18.2,0.0,0.7,2.286
19.7,0.0,4.8,4.147
20.8,0.5,3.4,3.275
18.6,5.0,0.0,1.128
17.0,T,0.0,1.444
14.8,0.0,0.0,1.158
16.8,2.0,0.7,2.939
17.8,0.5,1.1,3.069
17.0,0.0,0.0,1.178
17.7,0.0,4.6,3.392
19.8,T,3.4,3.447
19.4,15.0,0.1,1.425
21.1,1.0,1.0,3.136
20.9,T,0.7,1.928
20.7,T,0.8,2.222
18.5,0.0,0.0,0.867
19.1,0.0,6.3,4.192
18.2,0.0,0.5,1.586
17.4,T,0.6,2.261
18.8,0.0,5.8,3.894
19.3,3.5,7.8,4.569
19.1,T,0.0,0.842
18.7,1.5,2.1,2.922
20.0,0.0,4.2,3.583
18.7,T,0.0,0.803
16.4,0.0,0.8,2.147
17.5,T,5.7,4.397
18.2,T,0.0,1.119
19.3,0.0,3.1,3.317
19.2,T,6.1,4.156
18.4,T,0.0,1.492
18.7,1.5,1.1,2.369
20.3,0.0,8.6,5.206
20.8,0.0,1.1,3.197
21.5,0.5,4.3,3.853
18.7,T,0.0,1.311
17.5,0.0,0.4,2.308
13.7,T,0.0,1.569
13.2,T,0.0,0.478
14.1,T,0.0,0.622
14.9,1.0,0.0,0.694
15.5,1.5,0.0,0.422
15.7,2.5,0.0,0.758
18.3,T,1.4,2.978
20.7,T,3.2,3.336
22.0,0.0,2.2,3.267
22.2,T,5.7,4.158
21.9,5.5,1.2,2.917
21.3,0.5,0.4,2.525
22.2,1.0,1.0,2.711
19.6,4.0,0.0,0.886
19.0,T,0.0,1.914
19.5,1.0,0.2,1.889
17.3,13.5,0.8,2.436
16.4,7.0,0.3,2.614
15.0,T,0.0,0.883
16.7,0.0,7.1,5.394
17.5,T,1.8,3.211
19.3,0.0,4.7,4.553
20.0,0.0,10.4,6.169
21.5,3.5,8.4,5.672
18.9,2.5,0.0,1.408
20.3,1.0,6.0,5.258
22.5,0.0,3.0,4.25
23.4,T,3.4,4.578
24.0,T,7.6,5.594
23.8,T,7.9,5.758
