期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
21.2,0.0,5.6,5.383
21.2,0.0,3.6,3.778
22.6,0.0,5.9,5.236
22.9,0.0,6.8,5.614
23.1,0.0,7.6,6.333
23.8,0.0,7.7,5.969
19.4,83.5,0.3,1.506
19.1,8.0,0.4,2.1
18.4,0.0,0.0,1.511
18.2,0.0,0.8,2.308
18.6,0.0,0.4,2.211
19.2,4.0,0.2,2.95
19.0,T,0.0,1.942
18.2,1.0,0.0,1.006
19.0,0.5,0.5,3.317
20.8,0.0,2.6,4.839
21.9,0.0,3.1,4.211
21.9,25.0,1.4,2.864
20.3,80.0,2.0,1.828
21.3,25.0,3.5,3.85
22.1,0.5,2.9,4.286
22.5,1.5,1.4,3.569
21.0,25.0,0.8,3.308
20.7,T,0.2,1.944
22.3,0.0,4.4,4.861
22.0,T,1.0,2.981
21.7,0.0,0.6,2.744
23.0,0.0,10.5,7.781
23.9,0.0,6.6,6.278
24.9,0.0,6.3,5.867
22.6,8.5,1.3,2.689
22.1,0.0,3.0,3.447
24.1,0.0,6.8,6.261
22.7,4.5,1.3,3.456
22.1,8.0,0.8,2.456
22.5,24.0,2.9,3.844
23.1,4.5,5.7,5.889
23.1,21.5,5.5,5.422
22.3,2.5,2.0,3.439
22.0,6.5,2.2,2.894
22.2,61.5,1.7,4.228
21.6,16.5,0.3,1.931
21.9,36.5,0.5,3.003
21.7,42.0,0.9,2.839
21.1,44.0,0.0,2.219
21.3,39.5,0.4,2.483
22.5,6.5,1.0,3.419
22.3,2.5,0.3,2.486
23.1,4.0,2.4,3.758
23.9,0.0,9.9,7.558
23.3,3.0,4.7,5.133
23.2,0.0,5.4,5.181
23.6,0.0,6.8,5.981
23.0,1.0,4.9,4.981
22.6,10.0,3.1,4.464
23.4,0.0,6.6,6.381
23.0,39.5,5.5,5.614
23.2,T,5.3,5.322
23.2,T,0.0,2.722
22.4,35.5,4.2,4.611
22.9,T,2.2,4.347
23.2,T,2.8,3.967
23.7,T,4.4,4.589
23.0,26.5,5.4,5.511
23.4,7.5,6.0,5.7
24.0,0.0,6.7,5.672
24.1,0.0,6.9,6.358
24.3,0.0,9.0,6.717
24.6,0.0,7.9,7.089
24.1,0.5,7.3,6.111
24.0,0.0,7.1,6.842
22.8,38.5,4.1,4.631
23.1,2.0,5.7,5.739
23.7,0.0,6.5,5.597
24.6,0.0,7.8,6.722
24.3,1.0,3.3,3.9
23.0,18.0,2.7,3.439
22.8,44.0,2.2,3.467
22.1,52.0,1.5,2.772
22.4,41.5,3.4,4.094
22.8,60.0,4.6,4.656
23.2,3.0,5.7,5.547
22.9,5.0,2.2,3.561
22.8,30.0,3.0,4.172
23.1,0.0,3.9,4.964
24.6,0.0,6.5,5.592
23.7,5.5,0.0,1.019
24.5,5.0,0.0,2.047
21.5,4.0,0.0,1.228
23.0,18.0,2.8,3.764
22.4,5.5,3.1,4.158
22.6,4.0,2.3,3.639
23.0,0.0,6.8,5.669
22.9,T,1.0,3.156
21.9,86.0,0.2,2.078
21.9,99.5,0.0,0.597
21.4,74.0,0.0,0.736
22.8,2.0,3.0,3.881
23.1,1.0,3.8,4.219
23.0,0.5,3.5,4.3
22.9,T,1.6,3.075
22.3,7.0,2.7,2.789
22.6,3.5,1.5,4.153
23.2,5.5,4.6,4.336
23.3,0.5,2.6,3.919
22.4,12.0,1.5,3.044
22.4,1.5,3.2,3.803
21.6,52.0,0.3,1.4
22.3,7.5,3.0,3.625
21.0,96.5,3.1,3.392
22.1,6.0,5.2,3.967
22.4,26.0,5.0,4.383
23.3,6.0,6.1,5.692
23.2,14.5,7.1,5.764
23.2,3.5,5.3,4.8
22.8,8.5,5.3,4.106
23.1,7.5,4.8,3.844
22.5,11.0,6.2,4.703
23.0,T,7.5,5.825
23.4,1.5,6.7,4.967
23.8,1.5,5.3,4.744
25.8,0.0,7.1,5.117
23.3,0.0,1.1,2.897
22.5,8.0,2.5,2.875
22.8,2.0,2.4,3.175
22.1,24.0,0.0,1.017
22.5,7.0,0.5,2.256
22.2,68.0,0.7,2.253
21.7,61.0,3.0,2.364
21.5,34.0,0.2,1.978
21.4,47.0,1.0,2.564
20.7,54.0,1.0,2.206
21.3,0.5,1.5,2.647
21.8,0.0,3.6,3.822
21.7,0.0,2.5,3.103
22.0,0.0,4.6,3.778
22.5,0.0,6.8,4.864
22.3,0.0,3.2,3.636
22.8,0.0,4.2,3.75
22.6,0.0,1.3,2.892
22.0,29.5,0.8,2.514
22.8,0.0,7.9,4.947
23.1,0.0,7.4,4.706
22.7,0.0,1.0,2.375
23.3,1.0,4.5,3.964
23.2,1.5,5.0,3.886
23.3,0.0,3.1,3.456
23.3,T,4.1,3.197
22.9,0.0,1.5,2.828
22.9,T,1.5,2.731
23.0,0.0,4.6,3.983
23.5,0.0,7.7,4.531
23.5,0.0,5.0,3.583
23.7,0.0,6.6,4.264
23.2,0.0,6.7,4.336
21.7,0.0,1.9,2.314
21.8,0.0,0.3,1.931
25.1,0.0,1.4,2.789
21.4,0.5,0.3,2.056
21.5,29.0,0.1,2.325
22.0,6.5,3.5,3.525
22.4,0.0,4.5,3.281
21.5,0.0,0.4,1.997
21.7,3.0,3.1,3.219
21.4,0.0,3.4,3.572
20.8,T,3.1,3.264
20.4,T,2.3,2.358
20.6,0.0,2.2,3.061
20.3,0.0,0.2,2.372
20.0,0.0,0.0,1.706
20.8,0.0,1.2,2.822
21.1,T,4.2,3.603
21.3,0.0,3.3,3.203
20.6,0.0,0.5,2.461
20.9,0.0,3.3,3.061
21.4,0.0,7.4,4.236
22.0,0.0,6.3,4.372
21.5,0.0,9.4,5.017
20.8,0.0,8.9,4.939
19.6,T,0.2,1.486
18.8,10.5,0.3,1.447
19.4,0.5,2.1,2.733
19.5,0.0,3.0,3.244
20.3,0.0,9.0,4.547
20.2,0.0,7.2,3.592
20.2,0.0,9.7,5.231
20.2,0.0,9.8,5.375
20.8,0.0,10.3,5.328
21.6,0.0,10.6,5.175
21.9,0.0,3.7,3.336
21.1,0.0,5.0,3.025
21.0,0.0,6.3,3.969
20.8,0.0,6.0,3.158
21.4,0.0,4.7,3.597
21.6,0.0,7.6,4.764
19.4,0.0,4.6,4.014
18.3,0.0,5.2,3.339
16.7,0.0,0.0,1.208
18.2,0.0,5.6,4.25
17.0,1.0,0.0,1.469
13.7,0.0,0.5,1.836
14.1,0.0,10.2,5.811
14.0,0.0,8.1,4.408
15.6,0.0,6.9,4.678
16.4,0.0,9.8,5.644
17.0,0.0,9.7,5.669
17.0,0.0,9.1,5.117
17.0,0.0,8.9,5.236
16.6,0.0,9.1,5.256
16.6,0.0,8.1,5.05
18.2,0.0,6.7,4.472
19.8,0.0,9.2,5.261
18.8,0.5,0.5,2.211
19.2,1.0,1.1,2.564
17.7,0.5,0.2,2.119
17.7,0.0,3.5,3.164
17.6,0.5,0.1,1.833
15.9,6.5,0.0,1.053
17.4,0.0,2.3,3.083
15.5,1.0,0.0,0.639
16.2,0.0,4.1,3.256
17.1,0.0,8.3,5.019
18.5,0.0,9.4,5.058
20.5,0.0,9.3,5.017
20.8,0.0,8.4,4.842
20.2,0.0,6.6,3.853
19.7,0.0,4.1,2.622
19.4,0.0,9.2,5.128
19.0,0.0,8.8,5.15
17.7,0.0,7.0,4.486
14.9,0.0,1.1,2.319
15.4,0.0,5.8,4.156
17.9,2.5,6.6,4.667
14.6,5.0,0.0,1.464
12.3,0.5,0.0,1.261
9.9,0.5,0.0,1.186
10.0,1.0,0.0,1.042
13.0,1.0,8.1,4.897
13.5,0.0,8.4,4.675
15.2,0.0,6.5,4.419
16.4,0.0,0.8,2.794
14.6,35.5,0.0,0.856
18.0,0.0,9.2,5.142
18.7,0.0,2.1,2.8
19.1,0.0,8.8,4.978
16.5,0.0,3.4,3.5
14.7,0.0,6.4,4.4
14.5,0.0,5.0,3.692
13.3,0.0,3.7,2.792
12.9,0.0,8.6,5.047
14.7,0.0,9.4,5.208
14.8,0.0,5.7,4.553
14.9,0.0,4.3,3.522
15.8,0.0,3.6,3.453
13.9,0.0,5.6,3.658
12.7,0.0,7.5,4.736
12.4,0.0,9.5,5.167
14.1,0.0,9.6,5.336
14.6,0.0,9.1,5.261
15.0,0.0,9.6,5.5
14.7,0.0,6.4,3.511
15.8,0.0,8.4,5.411
16.5,0.0,8.1,5.236
18.1,0.0,6.9,5.003
17.6,0.0,6.0,4.147
16.4,T,3.0,2.919
12.8,T,0.1,1.317
8.1,7.0,0.0,1.186
7.8,0.5,0.0,1.1
9.6,0.0,1.6,1.519
12.2,0.0,9.0,5.033
13.5,0.0,3.7,3.442
14.8,0.0,5.5,4.675
14.8,3.5,4.1,4.069
16.5,0.0,7.7,4.683
17.2,0.0,5.9,4.389
18.3,0.0,9.6,5.647
17.4,0.0,5.2,3.925
18.6,0.0,4.4,3.775
18.0,0.0,2.9,3.475
18.0,0.0,3.0,2.789
17.0,0.0,0.1,2.067
15.9,T,4.7,4.044
14.0,27.5,0.0,1.617
11.9,8.5,3.4,3.75
11.7,T,0.0,1.1
13.1,0.0,10.4,6.383
12.5,0.0,10.0,6.586
13.4,0.0,10.6,6.522
15.7,0.0,10.7,6.478
17.5,0.0,10.0,6.306
16.0,0.0,2.4,2.961
16.1,0.0,4.7,4.036
17.5,0.0,10.6,6.861
19.2,0.0,7.8,5.167
19.8,0.0,6.7,5.592
20.4,0.0,10.6,6.867
18.8,0.0,8.2,5.492
17.7,T,4.8,3.525
17.7,0.0,6.6,5.094
17.4,0.0,6.6,5.989
15.3,T,1.3,2.383
14.9,0.0,0.6,2.292
16.5,0.0,8.7,5.942
17.6,T,4.4,4.222
14.3,2.0,0.0,1.886
11.1,4.0,0.0,0.636
14.0,0.0,6.7,4.686
17.3,0.0,10.0,6.333
20.1,0.0,5.4,5.028
18.9,T,1.4,3.069
16.0,6.5,0.1,1.181
14.3,0.0,3.2,4.239
13.0,T,0.2,1.336
12.5,0.5,0.0,0.833
13.9,10.5,1.5,1.972
15.6,1.0,8.2,7.122
14.3,0.0,4.4,4.353
14.9,0.0,1.4,2.375
17.1,0.0,3.7,4.925
18.7,0.0,6.5,5.283
19.3,0.0,8.9,5.625
18.6,0.0,8.3,5.35
16.7,T,4.2,3.369
15.4,0.0,0.4,1.917
14.4,0.0,3.7,4.114
16.7,0.0,7.5,5.242
20.9,T,7.8,5.439
21.9,0.0,9.7,6.769
21.8,0.0,7.5,5.653
22.2,0.0,10.4,6.736
19.7,0.0,1.4,2.975
19.8,T,5.6,4.369
20.7,0.0,4.6,4.442
20.1,T,2.3,3.422
20.2,8.0,0.7,2.172
20.4,3.0,1.3,3.561
21.9,0.0,7.4,6.253
22.1,0.0,7.6,6.181
21.7,0.0,7.2,6.258
21.0,T,7.9,6.231
20.8,T,3.6,4.319
20.2,2.0,2.1,3.094
20.3,0.5,0.4,2.536
19.8,3.0,0.5,2.439
19.3,0.0,0.1,2.447
20.7,0.0,6.9,5.725
21.2,T,3.2,4.125
22.4,0.0,9.4,6.456
22.6,0.0,7.3,5.753
23.1,0.0,8.7,6.272
23.6,0.0,6.8,5.797
22.7,0.0,8.9,6.867
22.2,1.5,6.4,5.861
20.7,1.5,1.9,3.475
21.6,2.5,7.2,5.783
23.9,0.0,8.3,7.117
21.9,17.0,3.9,4.247
19.6,8.0,0.0,1.478
19.0,18.0,0.0,0.867
18.9,49.5,0.5,2.106
19.4,19.0,0.6,1.539
22.0,0.5,4.6,4.628
19.8,20.5,1.6,1.972
23.6,T,5.9,5.836
22.7,5.0,7.8,6.758
