期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
28.7,0.0,8.3,6.561
28.5,10.0,4.8,4.372
29.4,T,2.2,3.811
29.2,49.5,0.0,2.256
29.0,8.5,0.0,1.953
29.6,T,3.1,4.364
29.2,8.0,6.8,5.803
29.3,30.0,2.4,4.581
28.7,30.0,2.1,3.361
27.7,T,3.6,3.144
28.6,T,3.7,4.219
30.2,0.0,7.7,5.981
29.0,2.0,3.9,4.867
29.2,2.5,3.7,4.631
28.9,12.0,3.9,3.861
29.1,10.0,3.9,4.975
28.3,0.5,3.0,3.875
28.7,1.0,5.2,5.194
28.2,T,2.8,3.319
29.2,1.0,7.6,6.231
29.9,0.0,11.3,7.369
29.8,0.0,11.2,7.217
29.5,0.0,7.5,6.417
28.8,0.0,5.0,4.428
29.4,0.0,8.8,6.622
28.4,13.0,6.4,5.114
27.0,25.5,5.4,3.842
28.8,0.0,10.9,7.392
29.7,T,8.9,6.467
30.1,0.0,4.9,4.328
28.5,0.5,0.2,2.892
27.9,1.0,7.4,5.725
29.7,0.0,10.0,7.069
28.0,17.5,1.4,3.619
28.9,T,7.1,6.608
28.5,T,5.1,5.436
28.9,0.0,9.0,6.728
28.1,16.5,6.0,5.181
28.8,0.5,7.0,5.786
28.6,T,2.4,4.056
27.5,2.0,2.5,4.472
27.0,24.5,2.0,3.114
27.0,13.0,1.5,3.169
26.9,67.5,1.3,3.047
28.0,4.0,1.3,4.161
28.4,T,0.4,4.308
28.7,1.5,1.1,4.306
27.7,2.5,0.1,2.525
29.3,0.0,9.0,7.453
29.5,0.0,11.5,7.806
30.1,0.0,11.4,7.831
30.2,0.0,9.6,6.481
30.3,0.0,9.0,6.967
30.1,0.0,8.1,6.839
29.4,T,10.6,7.717
29.4,0.0,10.0,6.983
28.1,17.5,6.7,5.256
29.0,T,8.8,6.403
29.3,0.0,0.0,3.094
27.9,61.5,5.0,4.425
29.2,1.0,5.5,4.822
29.8,0.5,7.0,6.0
31.0,0.0,10.7,7.494
30.3,0.0,9.7,7.172
30.8,0.0,10.9,7.839
31.1,0.0,11.6,7.761
30.5,0.0,9.2,6.267
31.1,0.0,11.4,7.533
31.0,0.0,11.6,7.758
30.6,0.0,5.7,5.039
29.8,0.0,6.6,5.797
28.0,2.0,5.5,4.678
28.1,8.5,5.9,4.703
29.5,0.0,9.6,7.075
30.5,0.0,8.0,6.689
30.0,9.0,7.7,6.253
28.6,1.0,4.6,3.928
29.2,26.5,8.3,6.558
28.4,12.0,1.4,4.294
28.5,9.0,3.1,4.961
28.2,3.0,4.9,4.478
29.3,4.0,11.4,7.631
28.7,26.5,6.9,5.894
28.5,14.0,6.1,4.797
29.3,0.0,11.4,6.7
30.3,0.0,10.0,7.569
28.3,2.5,0.0,1.317
27.3,3.0,0.0,1.781
25.4,32.0,0.0,1.031
27.9,64.0,2.5,3.822
27.8,3.0,4.3,4.453
28.1,22.5,4.7,5.492
28.7,0.0,8.3,6.561
28.5,10.0,4.8,4.372
29.4,T,2.2,3.811
29.2,49.5,0.0,2.256
29.0,8.5,0.0,1.953
29.6,T,3.1,4.364
29.2,8.0,6.8,5.803
29.3,30.0,2.4,4.581
28.7,30.0,2.1,3.361
27.7,T,3.6,3.144
28.6,T,3.7,4.219
30.2,0.0,7.7,5.981
29.0,2.0,3.9,4.867
29.2,2.5,3.7,4.631
28.9,12.0,3.9,3.861
29.1,10.0,3.9,4.975
28.3,0.5,3.0,3.875
28.7,1.0,5.2,5.194
28.2,T,2.8,3.319
29.2,1.0,7.6,6.231
29.9,0.0,11.3,7.369
29.8,0.0,11.2,7.217
29.5,0.0,7.5,6.417
28.8,0.0,5.0,4.428
29.4,0.0,8.8,6.622
28.4,13.0,6.4,5.114
27.0,25.5,5.4,3.842
28.8,0.0,10.9,7.392
29.7,T,8.9,6.467
30.1,0.0,4.9,4.328
28.5,0.5,0.2,2.892
28.3,T,4.6,4.369
28.9,4.5,2.1,3.858
27.6,1.5,0.0,1.033
27.7,18.0,0.0,1.931
29.2,T,6.8,6.506
27.9,6.5,4.1,4.586
27.1,23.0,3.8,4.772
27.2,35.5,4.6,5.081
26.8,10.0,1.0,3.472
25.3,300.5,0.0,2.061
27.4,0.0,7.7,6.397
27.5,T,7.6,5.964
27.6,0.0,6.9,4.728
27.5,0.0,8.1,6.156
27.2,T,6.3,5.933
28.2,0.0,7.6,6.089
28.5,0.0,3.5,4.831
28.5,0.0,6.8,5.553
28.6,0.0,9.3,6.356
29.1,0.0,10.7,6.392
28.9,0.0,5.6,4.903
29.1,0.0,8.0,5.961
29.0,0.0,6.7,5.181
29.4,0.0,8.8,5.825
29.4,13.5,7.4,5.633
28.8,2.5,3.4,4.125
28.5,10.5,2.0,3.086
28.3,0.0,7.6,5.614
28.9,0.0,10.5,6.3
29.0,0.0,8.7,5.244
29.1,0.0,6.4,4.681
28.0,0.0,10.6,6.131
26.7,0.0,5.0,5.019
26.9,T,0.0,0.772
27.4,0.0,0.0,1.636
26.3,12.5,0.3,2.169
26.2,32.5,0.9,3.311
26.8,0.5,4.0,4.811
27.2,0.0,6.2,5.256
26.6,0.0,5.4,4.867
26.3,0.0,9.0,5.644
25.7,0.0,9.4,5.681
26.1,0.0,6.2,4.803
26.0,0.0,8.5,5.347
25.2,0.0,3.0,3.639
24.3,T,0.0,2.139
24.3,T,0.0,1.85
25.4,0.0,0.0,2.236
25.8,0.0,3.9,4.461
25.8,0.0,6.2,4.833
24.5,0.0,2.2,4.403
25.2,0.0,5.7,4.864
25.9,0.0,9.6,5.436
26.3,0.0,8.7,5.272
26.0,0.0,8.0,4.653
25.6,0.0,8.4,4.747
25.3,T,3.0,3.7
25.3,0.0,4.8,3.883
24.7,0.0,6.9,4.261
24.4,0.0,7.7,4.978
24.8,0.0,9.7,5.139
25.2,0.0,9.6,5.131
24.9,0.0,8.7,4.892
24.3,0.0,9.9,5.111
24.7,0.0,10.3,5.239
25.1,0.0,10.3,5.183
26.1,0.0,6.9,4.886
24.6,0.0,3.5,3.656
24.8,0.0,9.0,4.556
25.1,0.0,6.5,3.378
25.6,0.0,10.2,4.156
24.4,0.0,10.0,4.147
22.7,0.0,0.0,1.681
21.0,0.0,5.4,3.447
20.8,0.0,2.6,3.4
22.8,0.0,8.5,4.486
23.2,0.0,4.4,3.733
18.2,0.0,2.0,2.933
16.9,0.0,9.8,4.911
18.2,0.0,9.6,4.803
20.1,0.0,7.5,4.694
20.0,0.0,10.0,4.964
20.2,0.0,9.8,4.9
20.5,0.0,9.7,4.792
20.1,0.0,9.3,4.606
20.4,0.0,9.5,4.556
20.0,0.0,9.3,4.503
21.5,0.0,9.3,4.633
22.4,0.0,9.4,4.539
23.8,T,1.4,2.478
22.8,T,1.1,2.65
20.2,T,2.4,2.606
20.0,0.0,7.6,4.128
20.2,T,0.4,2.072
21.1,0.5,0.0,2.303
21.8,0.0,7.6,4.367
20.4,T,0.2,1.975
20.4,0.0,9.3,4.233
20.3,0.0,9.4,4.325
22.0,0.0,9.6,4.369
24.2,0.0,9.9,4.4
24.9,0.0,3.7,2.956
24.0,0.0,7.2,3.642
22.5,0.0,7.7,4.042
22.4,0.0,8.8,4.111
23.8,0.0,8.5,4.122
19.6,0.0,7.7,4.036
16.6,T,0.2,2.272
19.8,0.0,7.8,4.192
20.7,T,4.2,3.514
17.5,T,0.0,1.903
14.7,T,0.0,1.261
12.4,0.0,0.0,1.258
15.6,T,0.0,1.822
15.8,T,5.7,4.036
14.8,0.0,9.6,4.433
16.6,0.0,2.6,2.717
19.5,T,0.3,2.275
18.8,11.0,0.0,0.939
19.2,0.0,7.5,4.153
19.5,0.0,1.2,2.361
21.2,0.0,9.1,4.503
18.2,T,5.2,3.456
18.2,0.0,4.5,3.533
17.9,0.0,5.9,3.597
16.1,0.0,7.2,3.942
17.4,0.0,8.8,4.347
17.4,0.0,8.7,4.203
17.6,0.0,6.0,3.817
17.8,0.0,3.9,3.467
19.4,0.0,6.8,4.219
17.8,0.0,8.7,4.4
15.1,0.0,8.9,4.408
16.3,0.0,9.2,4.5
17.2,0.0,9.6,4.567
18.0,0.0,8.9,4.622
17.8,0.0,9.4,4.689
17.6,0.0,9.2,4.569
18.6,0.0,9.5,4.806
19.7,0.0,5.2,3.839
21.2,0.0,8.6,4.367
20.5,0.0,2.4,2.886
18.5,T,8.5,4.739
15.1,T,0.1,2.167
9.7,1.5,0.0,1.336
12.4,0.0,1.3,2.906
13.9,0.0,2.2,2.511
15.0,0.0,9.3,4.678
15.3,0.0,5.3,3.931
15.8,0.0,3.6,3.836
17.4,1.5,8.1,4.794
19.6,0.0,5.8,3.8
22.1,0.0,9.6,5.014
21.4,0.0,9.4,4.886
20.7,0.0,7.4,4.667
20.5,0.0,2.7,3.55
20.8,T,0.7,2.953
19.8,T,0.2,2.222
19.0,0.0,3.3,3.672
17.2,0.5,1.5,2.908
15.2,19.5,0.0,2.253
13.9,4.5,1.4,3.053
14.9,0.0,0.7,3.222
