期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
21.8,0.0,4.2,5.325
25.5,0.0,7.1,5.406
26.7,0.0,7.2,5.289
26.8,0.0,6.7,5.706
27.6,0.0,6.3,5.203
27.6,2.0,3.6,4.903
22.7,16.5,0.2,1.831
19.2,26.0,0.0,1.55
19.4,0.5,0.0,1.944
21.8,0.0,7.6,6.508
23.1,0.0,0.5,3.642
23.5,0.5,0.4,2.956
21.5,2.0,0.0,0.786
22.1,T,0.0,1.936
23.5,T,3.1,4.597
25.7,0.0,7.1,6.136
26.9,0.0,6.5,5.797
28.5,T,8.1,6.631
23.3,50.0,0.0,0.661
24.1,T,0.0,1.992
26.4,T,1.6,4.364
27.4,33.5,5.1,5.65
20.5,15.0,0.0,1.147
22.7,7.0,0.2,1.794
24.8,T,1.4,3.622
27.1,0.0,8.2,6.0
27.2,0.0,12.7,7.928
28.0,0.0,12.7,8.014
29.1,0.0,10.8,7.411
27.5,2.0,3.3,4.331
25.4,123.0,0.0,1.142
26.0,10.0,0.7,2.664
28.2,0.5,8.3,6.228
27.9,T,5.4,4.297
26.7,103.0,1.0,3.036
27.8,3.0,3.6,4.467
28.4,0.0,7.8,5.897
27.9,T,5.7,4.747
28.9,0.0,5.1,5.181
26.6,31.5,2.0,3.433
25.4,51.0,1.3,3.114
25.6,3.0,0.0,2.394
25.4,0.5,0.0,2.203
26.7,0.0,6.5,6.183
26.3,1.5,1.4,3.517
25.1,15.5,0.4,2.628
25.7,42.5,1.7,3.439
26.2,1.0,0.2,2.014
28.6,T,1.8,4.917
28.4,0.0,1.9,4.789
29.6,0.0,11.1,7.494
29.8,0.0,11.3,7.247
29.1,0.0,4.8,4.397
26.7,56.5,4.7,4.036
27.0,37.0,7.3,5.408
28.6,0.0,8.3,6.483
28.8,T,6.7,5.522
28.7,T,6.9,5.353
28.7,0.0,3.0,4.831
28.5,1.5,7.6,5.597
27.5,3.5,7.1,5.114
28.0,T,4.0,5.039
27.5,1.0,5.1,3.994
28.7,0.0,5.5,5.308
29.7,0.0,11.9,7.486
30.4,0.0,12.2,7.536
30.4,0.0,12.1,7.617
30.5,0.0,12.7,7.797
30.6,0.0,11.4,7.686
30.3,0.0,11.8,7.447
30.0,0.0,6.5,5.783
27.7,54.5,5.4,4.367
28.5,0.0,9.5,6.067
29.2,0.0,7.0,5.375
29.9,0.0,9.6,6.311
30.8,0.0,12.1,7.681
30.2,0.0,8.6,6.197
29.1,0.5,5.7,4.808
27.8,21.5,2.3,3.964
27.9,3.5,6.8,4.819
27.8,59.0,6.9,5.022
28.3,15.0,5.4,5.222
28.0,3.0,3.6,4.156
27.6,6.5,6.0,4.625
29.1,0.0,10.0,6.631
30.1,T,11.8,7.375
27.3,51.5,0.1,2.15
29.0,6.0,0.0,2.3
27.8,1.0,0.0,1.058
28.2,T,2.3,4.894
27.3,10.5,5.1,4.225
27.4,0.0,2.8,4.1
26.2,42.0,2.3,3.025
28.0,24.0,0.5,2.661
28.6,20.5,0.0,1.406
30.9,T,0.6,3.414
29.3,T,4.1,4.792
30.5,0.0,9.5,6.908
30.3,0.0,9.0,6.761
30.0,0.0,1.5,3.636
30.2,0.0,7.9,6.1
27.5,52.5,1.5,3.375
26.6,10.5,3.9,4.014
27.5,T,5.2,5.264
28.3,1.0,7.0,5.497
29.6,0.0,11.6,7.225
29.7,0.0,9.1,6.458
26.6,39.0,0.0,1.811
26.2,81.5,4.5,3.853
26.4,8.0,4.4,4.706
27.5,1.5,5.7,4.756
26.6,46.5,5.3,4.114
27.5,0.5,7.0,5.639
27.6,23.5,8.7,5.739
27.3,4.0,6.7,5.072
28.0,T,6.7,5.061
28.8,0.0,10.5,6.247
29.1,0.0,11.3,6.686
27.7,13.0,8.3,4.747
28.5,T,6.4,5.544
29.6,T,11.4,6.944
29.6,1.0,8.9,6.192
28.3,3.5,6.2,5.547
28.2,4.0,6.6,5.917
27.4,11.5,3.9,3.389
26.7,29.0,0.0,1.806
27.6,25.5,0.0,1.686
27.8,0.5,1.9,3.297
26.1,194.0,3.6,2.983
25.9,0.5,0.0,2.492
25.4,14.0,0.5,2.228
25.5,0.0,6.3,5.597
25.8,0.0,11.8,6.986
26.2,0.0,10.2,6.672
27.1,0.0,7.8,5.439
26.9,T,6.7,5.019
27.2,0.0,7.3,5.381
27.1,T,6.3,4.936
27.7,0.0,7.6,5.317
28.0,T,5.7,4.781
27.0,3.0,8.1,5.028
27.8,0.0,10.5,6.508
27.8,0.0,5.6,4.447
27.6,0.0,5.7,4.242
29.0,0.0,11.2,6.564
29.1,0.0,8.6,5.175
29.4,0.0,11.0,6.411
29.1,0.0,11.0,6.522
28.4,T,11.2,6.253
27.7,1.0,7.1,5.056
28.7,0.0,10.0,6.3
28.2,1.0,5.4,4.442
28.3,0.0,9.9,5.408
27.3,1.0,6.5,4.986
24.9,2.0,1.7,2.308
23.9,22.0,0.0,0.694
25.7,56.0,0.0,0.644
26.5,37.5,1.5,2.469
27.1,1.5,4.1,4.219
26.4,14.0,0.3,2.833
24.7,30.0,0.0,1.589
24.6,11.5,0.9,2.533
23.5,3.5,0.0,1.647
22.9,2.0,0.1,2.047
24.0,0.0,3.0,3.467
23.6,0.0,1.0,2.672
23.0,0.0,0.0,1.919
22.9,0.0,3.8,3.933
23.3,0.0,1.9,3.397
24.5,0.0,4.4,4.592
26.4,0.0,8.3,5.022
26.4,T,8.6,5.164
23.5,6.5,0.2,1.403
21.0,2.0,0.0,0.614
23.0,0.5,0.2,2.069
25.3,0.0,4.6,4.342
25.3,0.0,3.9,3.617
24.9,0.0,10.4,5.225
24.5,T,8.0,4.456
22.9,T,0.0,1.139
21.0,12.5,0.0,0.883
21.8,T,0.0,0.906
23.2,T,4.6,3.858
23.3,T,0.8,2.139
24.2,0.0,5.4,3.875
25.2,0.0,7.1,4.419
24.1,0.0,7.4,4.25
25.3,0.0,10.0,4.817
25.2,0.0,10.4,4.786
24.6,T,7.5,4.231
22.7,0.0,4.8,3.664
24.8,0.0,8.0,4.264
25.6,0.0,9.0,4.436
23.7,11.0,3.8,2.556
21.7,4.0,0.0,1.686
20.0,16.0,0.0,0.897
17.0,11.0,0.0,0.375
18.8,T,0.0,0.786
20.4,T,1.5,2.369
19.7,19.5,1.0,1.325
15.2,0.5,3.9,2.586
14.9,0.0,7.9,4.0
17.4,0.0,10.1,4.511
19.7,0.0,3.8,3.161
21.7,0.0,9.5,4.322
21.2,0.0,8.4,4.119
20.4,0.0,9.6,4.292
19.3,0.0,0.0,0.344
19.6,T,0.0,1.456
19.1,7.5,0.0,1.053
20.1,T,0.2,1.644
21.0,0.0,9.4,4.228
22.7,T,1.0,2.081
19.3,1.0,0.0,0.35
16.4,19.5,0.0,0.625
17.7,T,0.1,1.131
19.5,T,0.1,1.469
19.4,50.0,0.0,0.725
18.6,3.0,0.0,0.633
17.8,9.0,0.0,0.294
18.5,0.0,9.3,4.239
20.7,0.0,8.0,4.256
20.2,0.0,7.8,4.211
21.9,0.0,8.0,4.206
23.7,0.0,6.9,3.908
20.6,T,0.0,0.817
21.1,0.0,2.7,3.122
22.4,0.0,9.6,4.572
22.5,0.0,6.1,3.775
15.1,1.5,0.0,0.778
13.3,1.5,0.0,0.533
18.9,T,4.2,3.306
17.3,T,0.0,0.781
14.6,9.0,0.0,0.492
10.9,16.0,0.0,0.144
10.1,T,0.0,0.353
14.6,9.5,0.0,1.789
13.5,7.0,0.0,0.417
13.8,0.0,2.5,2.486
18.0,0.0,7.9,4.417
18.9,T,2.7,2.933
18.4,6.5,0.0,1.028
18.9,1.5,0.0,0.878
19.3,1.0,1.4,2.586
17.4,0.0,4.2,2.406
16.3,0.0,0.1,1.781
17.5,0.0,8.7,4.278
14.3,15.5,0.0,0.367
15.4,0.0,0.0,1.383
16.9,0.0,7.3,3.922
16.7,0.0,6.3,3.956
16.8,0.0,0.0,0.706
18.1,0.0,0.7,2.3
17.4,1.5,0.1,1.719
14.4,0.5,0.0,0.619
13.0,0.0,9.1,4.386
14.8,0.0,8.2,4.275
17.1,0.0,9.9,4.881
18.4,0.0,8.2,4.511
15.5,14.0,0.4,0.95
16.7,T,1.2,2.183
20.2,0.0,3.8,3.55
18.8,0.0,8.1,4.656
19.6,0.0,9.4,4.711
18.6,T,3.8,2.297
14.4,12.0,0.0,0.625
12.2,16.0,0.0,0.717
7.9,20.5,0.0,0.278
9.9,T,0.0,0.747
11.0,4.5,0.0,0.261
12.2,T,0.0,0.739
13.2,0.5,0.0,0.369
12.9,1.0,0.0,0.703
17.9,1.5,6.3,4.169
17.0,T,1.3,1.928
19.9,0.0,3.3,3.083
21.2,0.0,7.4,4.453
19.2,0.0,0.0,0.911
19.5,T,2.5,3.506
20.2,T,3.9,3.897
16.6,3.0,0.1,1.347
16.3,0.0,0.0,0.956
15.2,24.0,0.1,1.35
12.9,22.0,0.0,0.433
11.6,17.0,0.0,0.536
12.8,T,0.0,1.753
14.5,0.0,10.3,5.772
16.6,0.0,10.4,5.708
17.3,0.0,9.8,5.608
17.4,0.0,10.5,5.619
19.1,T,6.9,4.558
14.8,T,0.0,0.669
18.2,T,7.5,4.875
19.7,0.0,9.7,5.428
22.6,0.0,7.4,5.336
23.3,0.0,5.4,4.119
23.1,0.0,5.2,3.9
19.0,0.0,0.2,1.558
15.3,T,0.6,2.131
15.8,T,1.0,1.967
13.0,T,0.0,0.911
12.4,T,0.0,0.597
13.3,6.5,0.0,0.661
17.0,T,3.6,3.594
17.5,0.5,4.3,3.844
11.7,16.0,0.0,0.717
11.5,11.0,0.0,0.517
14.1,0.5,2.6,2.167
17.5,0.0,6.5,4.578
22.8,0.0,7.7,4.833
16.5,1.5,0.0,0.5
13.5,16.5,0.0,0.425
13.4,T,3.6,3.0
12.9,T,0.0,1.089
17.4,T,0.0,1.867
16.6,26.0,0.2,1.064
17.0,3.5,11.1,6.889
17.8,0.0,5.8,4.761
18.7,0.0,1.1,2.714
17.9,T,0.0,0.897
19.5,0.0,1.2,2.992
21.1,0.0,3.8,4.075
18.2,0.0,4.7,4.156
14.3,5.0,0.0,0.825
15.7,0.0,8.9,6.067
18.6,0.0,5.8,5.369
20.5,0.0,5.5,5.247
23.7,0.0,7.9,5.478
24.7,0.0,6.0,5.014
24.7,0.0,3.7,4.206
19.2,0.5,0.0,0.814
20.3,0.0,0.8,3.889
23.5,0.5,3.4,3.806
23.5,0.0,5.0,4.542
22.4,2.0,1.8,2.639
22.5,20.5,1.3,2.561
23.2,9.0,2.9,4.311
25.9,T,7.7,6.033
26.8,0.0,6.8,5.15
24.3,11.5,1.1,2.714
20.1,T,0.0,1.539
21.4,1.0,1.9,2.553
21.9,3.0,0.3,2.6
21.8,9.5,0.0,1.025
17.9,10.0,0.0,0.525
20.4,23.0,0.0,0.95
22.9,0.0,1.8,3.939
24.4,0.0,3.1,4.094
25.1,0.0,2.1,4.531
25.0,0.0,2.0,3.144
26.8,0.0,4.6,4.725
26.4,0.0,4.4,4.264
26.0,0.0,5.7,4.7
21.9,53.5,0.0,1.167
23.8,1.5,3.5,3.964
25.4,8.0,4.0,4.5
25.6,0.0,3.3,4.575
24.9,T,0.4,1.586
25.2,0.5,0.5,2.422
20.4,56.0,0.0,0.858
22.4,11.5,0.2,2.322
22.9,18.0,3.0,2.319
24.6,1.0,1.7,3.758
25.0,1.0,2.7,3.447
27.3,0.0,10.4,6.925
26.3,18.5,6.1,4.683
