"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.0","1019.2","1017.7","2024/01/01 09:21:00","1014.5","2024/01/01 15:11:00","19.1","23.4","2024/01/01 12:51:00","16.5","2024/01/01 06:58:00","12.6","67","52","2024/01/01 12:50:00","3.9","360","9.4","350","2024/01/01 04:53:00","0.0","0.0","0.0","--","0.0","--","4.6","42.9","12.79","6.0","6","2024/01/01 13:00:00","8.2"
"02","1015.0","1018.2","1016.8","2024/01/02 09:02:00","1012.6","2024/01/02 14:44:00","19.2","24.3","2024/01/02 12:58:00","15.3","2024/01/02 05:53:00","14.2","73","56","2024/01/02 12:14:00","2.3","20","7.7","320","2024/01/02 16:30:00","0.0","0.0","0.0","--","0.0","--","5.5","51.3","13.55","8.0","6","2024/01/02 13:00:00","5.8"
"03","1015.0","1018.2","1016.7","2024/01/03 23:08:00","1013.0","2024/01/03 13:50:00","18.5","23.0","2024/01/03 13:33:00","14.1","2024/01/03 23:37:00","14.0","76","59","2024/01/03 13:23:00","5.4","360","14.9","10","2024/01/03 17:06:00","0.0","0.0","0.0","--","0.0","--","8.5","79.3","15.73","7.4","6","2024/01/03 13:00:00","2.8"
"04","1016.7","1019.9","1018.3","2024/01/04 09:07:00","1015.2","2024/01/04 02:33:00","17.3","22.4","2024/01/04 14:14:00","12.6","2024/01/04 06:35:00","10.7","66","49","2024/01/04 12:15:00","2.9","10","7.7","10","2024/01/04 01:17:00","0.0","0.0","0.0","--","0.0","--","9.2","85.7","15.96","10.8","6","2024/01/04 13:00:00","0.6"
"05","1017.3","1020.5","1019.2","2024/01/05 08:57:00","1015.4","2024/01/05 13:30:00","19.0","24.2","2024/01/05 13:23:00","16.1","2024/01/05 01:58:00","13.6","72","48","2024/01/05 13:23:00","3.1","20","8.1","310","2024/01/05 13:38:00","0.0","0.0","0.0","--","0.0","--","9.7","90.3","16.03","10.0","6","2024/01/05 13:00:00","0.2"
"06","1016.9","1020.1","1019.1","2024/01/06 08:58:00","1014.5","2024/01/06 14:49:00","19.2","24.9","2024/01/06 12:47:00","15.9","2024/01/06 06:34:00","14.2","74","40","2024/01/06 12:55:00","2.7","20","7.9","300","2024/01/06 15:28:00","0.0","0.0","0.0","--","0.0","--","7.1","66.1","14.20","5.4","6","2024/01/06 13:00:00","5.0"
"07","1017.8","1020.9","1020.6","2024/01/07 09:44:00","1016.3","2024/01/07 14:48:00","18.9","24.7","2024/01/07 14:12:00","15.7","2024/01/07 06:31:00","12.9","70","44","2024/01/07 14:15:00","3.6","360","8.6","10","2024/01/07 19:15:00","0.0","0.0","0.0","--","0.0","--","5.6","52.1","12.52","7.6","6","2024/01/07 13:00:00","6.8"
"08","1016.1","1019.3","1018.4","2024/01/08 09:31:00","1014.1","2024/01/08 15:08:00","18.9","24.6","2024/01/08 14:06:00","14.8","2024/01/08 06:30:00","13.1","70","49","2024/01/08 12:25:00","3.0","360","7.3","10","2024/01/08 18:49:00","0.0","0.0","0.0","--","0.0","--","4.9","45.5","13.31","12.2","5","2024/01/08 12:00:00","7.2"
"09","1013.2","1016.3","1015.5","2024/01/09 00:01:00","1010.3","2024/01/09 14:37:00","19.9","25.4","2024/01/09 14:01:00","16.5","2024/01/09 04:01:00","16.6","82","56","2024/01/09 14:30:00","4.1","360","10.3","360","2024/01/09 06:29:00","0.0","0.0","0.0","--","0.0","--","4.8","44.2","13.28","7.8","6","2024/01/09 12:00:00","6.8"
