"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1013.1","1014.4","1015.1","2023/05/01 22:03:00","1011.2","2023/05/01 04:09:00","23.6","26.0","2023/05/01 11:25:00","22.1","2023/05/01 05:29:00","17.2","68","51","2023/05/01 10:54:00","5.0","10","12.9","360","2023/05/01 11:52:00","0.0","0.0","0.0","--","0.0","--","10.9","83.9","25.44","29.0","6.5","9","2023/05/01 12:00:00","3.8","22.7","23.8","24.7","25.1","25.4","25.8","24.7"
"02","1014.5","1015.7","1016.2","2023/05/02 09:17:00","1013.1","2023/05/02 16:32:00","23.7","26.4","2023/05/02 10:46:00","22.2","2023/05/02 05:29:00","20.4","82","71","2023/05/02 13:19:00","3.5","360","9.4","340","2023/05/02 12:22:00","0.0","0.0","0.0","--","0.0","--","7.8","59.9","23.08","14.8","5.0","9","2023/05/02 13:00:00","6.8","23.6","24.4","25.0","25.3","25.5","25.8","24.8"
"03","1013.0","1014.2","1015.1","2023/05/03 08:17:00","1011.4","2023/05/03 16:25:00","25.0","27.8","2023/05/03 12:00:00","22.9","2023/05/03 00:15:00","21.4","80","67","2023/05/03 16:50:00","2.0","10","8.0","10","2023/05/03 00:11:00","0.0","0.0","0.0","--","0.0","--","8.6","66.0","23.57","21.4","6.6","10","2023/05/03 12:00:00","5.8","24.6","25.2","25.7","25.7","25.7","26.0","24.8"
"04","1008.9","1010.1","1011.7","2023/05/04 08:15:00","1006.5","2023/05/04 17:42:00","26.8","30.8","2023/05/04 12:50:00","24.1","2023/05/04 05:15:00","22.6","79","56","2023/05/04 13:21:00","1.2","280","4.4","280","2023/05/04 14:58:00","0.0","0.0","0.0","--","0.0","--","10.9","83.5","27.05","24.0","6.2","11","2023/05/04 12:00:00","2.4","26.0","26.4","26.6","26.3","26.2","26.3","24.9"
"05","1005.4","1006.6","1007.1","2023/05/05 00:11:00","1003.2","2023/05/05 17:18:00","27.6","30.6","2023/05/05 12:36:00","25.5","2023/05/05 22:57:00","24.3","82","69","2023/05/05 10:23:00","3.5","180","12.1","160","2023/05/05 11:03:00","0.0","0.0","0.0","--","0.0","--","10.8","82.6","27.32","24.0","6.5","11","2023/05/05 12:00:00","1.8","27.1","27.5","27.6","27.2","27.0","26.9","25.0"
"06","1004.5","1005.7","1006.1","2023/05/06 09:51:00","1002.5","2023/05/06 16:29:00","27.5","30.6","2023/05/06 12:37:00","25.3","2023/05/06 01:33:00","25.2","87","72","2023/05/06 12:39:00","3.4","180","9.2","180","2023/05/06 14:47:00","0.0","0.0","0.0","--","0.0","--","9.7","74.1","26.46","25.0","-4.8","11","2023/05/06 13:00:00","5.6","27.6","28.1","28.3","27.9","27.6","27.5","25.2"
"07","1005.6","1006.8","1007.8","2023/05/07 09:42:00","1003.8","2023/05/07 04:53:00","25.1","27.0","2023/05/07 00:01:00","23.4","2023/05/07 09:15:00","23.7","92","84","2023/05/07 02:40:00","2.9","110","11.6","350","2023/05/07 08:45:00","66.0","8.7","11.5","2023/05/07 08:50:00","37.0","2023/05/07 08:49:00","0.0","0.0","3.74","14.4","-3.5","4","2023/05/07 12:00:00","10.0","25.2","25.8","27.2","27.7","27.9","27.9","25.4"
"08","1009.9","1011.1","1012.2","2023/05/08 22:08:00","1006.7","2023/05/08 00:02:00","23.1","25.0","2023/05/08 13:14:00","21.9","2023/05/08 06:39:00","19.6","80","70","2023/05/08 12:40:00","5.5","20","14.0","40","2023/05/08 21:49:00","T","0.8","T","2023/05/08 07:35:00","T","2023/05/08 07:35:00","1.7","13.0","14.96","23.4","/","7","2023/05/08 13:00:00","9.4","23.1","24.2","25.3","26.3","26.9","27.4","25.7"
"09","1012.2","1013.4","1013.5","2023/05/09 21:16:00","1010.7","2023/05/09 04:01:00","22.6","24.4","2023/05/09 14:04:00","21.5","2023/05/09 19:48:00","17.1","71","63","2023/05/09 15:10:00","5.3","10","15.6","20","2023/05/09 05:57:00","0.0","0.0","0.0","--","0.0","--","3.7","28.2","16.17","16.0","5.4","7","2023/05/09 12:00:00","8.0","22.0","23.1","24.3","25.4","26.1","26.8","25.8"
