"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","990.6","1000.2","994.5","2023/06/01 23:02:00","987.8","2023/06/01 03:49:00","28.5","32.0","2023/06/01 16:06:00","26.0","2023/06/01 04:49:00","23.1","73","56","2023/06/01 16:54:00","2.4","20","11.6","20","2023/06/01 10:41:00","T","0.4","T","2023/06/01 08:03:00","T","2023/06/01 08:03:00","7.1","52.6","21.54","18.4","5.7","13","2023/06/01 13:00:00","5.8","27.7","27.5","27.8","28.6","28.7","27.5","27.5"
"02","995.9","1005.5","999.0","2023/06/02 22:29:00","993.4","2023/06/02 01:53:00","29.9","34.2","2023/06/02 13:50:00","26.3","2023/06/02 05:48:00","24.1","72","53","2023/06/02 11:42:00","1.5","240","6.6","290","2023/06/02 14:00:00","0.0","0.0","0.0","--","0.0","--","9.6","71.1","24.14","13.8","3.6","11","2023/06/02 13:00:00","4.4","28.8","28.2","28.4","28.9","28.8","27.7","27.6"
"03","999.6","1009.4","1001.4","2023/06/03 21:57:00","998.0","2023/06/03 03:31:00","27.9","32.2","2023/06/03 13:39:00","25.7","2023/06/03 15:51:00","25.2","86","64","2023/06/03 13:53:00","1.3","200","7.4","180","2023/06/03 15:40:00","52.0","2.7","14.5","2023/06/03 15:34:00","48.5","2023/06/03 15:13:00","2.6","19.2","15.19","9.6","-2.0","10","2023/06/03 11:00:00","7.6","28.8","28.4","28.6","29.2","29.1","28.0","27.7"
"04","1000.2","1010.0","1001.3","2023/06/04 07:21:00","998.3","2023/06/04 16:13:00","28.7","32.1","2023/06/04 15:44:00","25.1","2023/06/04 04:54:00","24.0","77","54","2023/06/04 16:22:00","1.4","360","6.5","330","2023/06/04 14:10:00","T","0.2","T","2023/06/04 03:47:00","T","2023/06/04 03:47:00","5.8","42.9","18.40","11.4","-4.1","9","2023/06/04 12:00:00","7.8","28.4","28.0","28.2","29.0","28.9","27.8","27.9"
"05","1000.0","1009.7","1002.4","2023/06/05 22:33:00","998.0","2023/06/05 15:45:00","29.0","32.4","2023/06/05 12:47:00","26.0","2023/06/05 05:37:00","23.2","72","57","2023/06/05 15:02:00","1.4","220","6.9","300","2023/06/05 16:09:00","0.5","0.5","0.5","2023/06/05 23:35:00","0.5","2023/06/05 23:35:00","7.8","57.7","20.64","17.6","-4.4","9","2023/06/05 13:00:00","5.4","28.4","28.1","28.3","29.1","29.0","27.9","27.9"
"06","999.8","1009.5","1002.0","2023/06/06 22:03:00","998.0","2023/06/06 15:51:00","28.7","32.6","2023/06/06 14:07:00","24.6","2023/06/06 04:28:00","23.2","73","54","2023/06/06 14:40:00","1.5","240","7.5","250","2023/06/06 15:05:00","0.0","0.0","0.0","--","0.0","--","8.4","62.1","23.39","14.4","4.1","10","2023/06/06 14:00:00","4.0","28.4","28.0","28.3","29.0","29.0","27.9","28.0"
"07","1000.5","1010.3","1002.3","2023/06/07 22:56:00","998.6","2023/06/07 16:41:00","29.0","32.9","2023/06/07 11:24:00","25.0","2023/06/07 23:47:00","24.2","76","59","2023/06/07 11:38:00","1.4","260","7.6","270","2023/06/07 12:55:00","19.5","0.4","14.5","2023/06/07 22:08:00","19.5","2023/06/07 22:06:00","7.4","54.6","22.27","20.0","-4.1","10","2023/06/07 11:00:00","6.8","28.8","28.3","28.5","29.2","29.2","28.0","28.0"
"08","998.8","1008.5","1001.5","2023/06/08 00:01:00","996.5","2023/06/08 15:22:00","27.9","32.3","2023/06/08 13:59:00","24.2","2023/06/08 01:03:00","24.2","81","64","2023/06/08 10:55:00","1.3","180","6.8","180","2023/06/08 08:21:00","0.5","0.1","0.5","2023/06/08 21:52:00","0.5","2023/06/08 21:52:00","4.3","31.6","18.55","15.0","-0.4","10","2023/06/08 11:00:00","8.4","28.5","28.1","28.3","29.2","29.2","28.1","28.1"
"09","996.0","1005.8","998.0","2023/06/09 00:02:00","993.6","2023/06/09 16:08:00","28.5","31.9","2023/06/09 14:41:00","26.0","2023/06/09 00:03:00","24.4","79","61","2023/06/09 15:38:00","1.2","210","5.4","210","2023/06/09 15:26:00","0.5","2.3","0.5","2023/06/09 11:20:00","0.5","2023/06/09 11:20:00","3.9","28.8","14.94","12.4","-2.0","11","2023/06/09 13:00:00","8.4","28.6","28.3","28.5","29.2","29.2","28.1","28.1"
"10","993.4","1003.0","995.3","2023/06/10 00:01:00","991.7","2023/06/10 14:53:00","28.6","32.1","2023/06/10 11:46:00","25.9","2023/06/10 05:17:00","24.0","77","59","2023/06/10 12:48:00","1.2","230","7.5","320","2023/06/10 15:22:00","T","0.4","T","2023/06/10 03:01:00","T","2023/06/10 03:01:00","2.0","14.7","15.30","10.8","-5.2","12","2023/06/10 12:00:00","9.2","28.7","28.3","28.5","29.2","29.2","28.1","28.2"
"11","993.0","1002.7","994.0","2023/06/11 23:17:00","991.9","2023/06/11 03:02:00","27.6","31.2","2023/06/11 10:41:00","25.3","2023/06/11 12:36:00","24.2","82","62","2023/06/11 09:48:00","0.8","160","9.4","250","2023/06/11 12:18:00","8.5","3.1","5.5","2023/06/11 12:24:00","7.0","2023/06/11 12:20:00","1.9","14.0","11.49","10.8","-0.3","7","2023/06/11 11:00:00","9.2","28.4","28.1","28.3","29.2","29.2","28.0","28.2"
"12","993.1","1002.8","994.6","2023/06/12 08:28:00","991.3","2023/06/12 16:09:00","28.0","31.3","2023/06/12 15:37:00","25.9","2023/06/12 20:56:00","24.8","84","65","2023/06/12 15:56:00","1.1","120","7.0","350","2023/06/12 13:25:00","2.0","1.0","1.0","2023/06/12 20:14:00","2.0","2023/06/12 20:14:00","2.2","16.2","13.40","13.8","-2.3","8","2023/06/12 13:00:00","9.4","28.5","28.1","28.3","29.1","29.1","28.0","28.2"
"13","992.8","1002.5","994.5","2023/06/13 22:07:00","991.5","2023/06/13 14:33:00","28.1","32.3","2023/06/13 14:47:00","25.3","2023/06/13 05:16:00","24.6","82","61","2023/06/13 15:17:00","1.1","360","9.1","180","2023/06/13 16:39:00","5.0","0.8","5.0","2023/06/13 04:06:00","5.0","2023/06/13 04:06:00","3.1","22.8","15.28","12.4","-4.3","8","2023/06/13 12:00:00","7.6","28.4","28.1","28.3","29.1","29.1","27.9","28.2"
"14","995.6","1005.4","998.3","2023/06/14 22:05:00","992.8","2023/06/14 02:53:00","27.5","29.9","2023/06/14 13:47:00","25.1","2023/06/14 08:32:00","24.5","84","74","2023/06/14 12:32:00","1.1","320","6.4","180","2023/06/14 20:59:00","20.5","1.8","9.0","2023/06/14 08:22:00","16.5","2023/06/14 08:05:00","0.0","0.0","9.17","11.4","-2.5","7","2023/06/14 12:00:00","10.0","28.0","27.7","28.0","29.0","29.1","27.9","28.2"
"15","998.4","1008.1","1000.2","2023/06/15 22:47:00","996.8","2023/06/15 02:05:00","27.2","30.8","2023/06/15 12:58:00","25.4","2023/06/15 20:34:00","24.1","84","62","2023/06/15 11:54:00","0.9","80","5.8","260","2023/06/15 14:12:00","10.5","1.2","4.0","2023/06/15 14:38:00","9.5","2023/06/15 14:20:00","0.7","5.1","10.75","14.0","-1.1","6","2023/06/15 13:00:00","9.2","28.2","27.9","28.1","29.0","29.0","27.9","28.2"
"16","999.9","1009.6","1002.1","2023/06/16 22:30:00","998.1","2023/06/16 04:33:00","27.9","31.4","2023/06/16 12:26:00","24.4","2023/06/16 02:44:00","24.5","83","59","2023/06/16 10:22:00","1.0","220","12.1","190","2023/06/16 02:04:00","15.0","1.7","4.0","2023/06/16 01:53:00","11.0","2023/06/16 01:29:00","1.7","12.5","12.90","17.8","-1.7","7","2023/06/16 10:00:00","9.6","28.1","27.8","28.0","28.9","29.0","27.8","28.2"
