期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
21.7,0.0,2.0,4.969
23.9,1.5,0.9,3.731
26.1,0.0,5.1,5.464
26.9,0.0,3.6,4.578
27.4,0.0,5.4,5.869
27.3,0.5,5.3,5.417
24.2,1.5,0.8,2.611
20.1,15.0,0.0,1.772
19.9,0.0,0.0,1.614
21.3,0.0,4.9,5.669
22.9,0.0,0.3,3.047
23.9,T,1.1,3.328
22.7,T,0.0,1.114
22.5,T,0.0,1.731
23.6,0.0,2.1,4.378
24.7,0.0,7.0,6.186
25.3,0.0,6.9,6.528
26.7,0.0,5.2,5.003
23.9,20.5,0.0,0.675
23.5,0.5,0.0,1.522
25.4,T,2.1,4.442
26.4,10.0,5.7,5.25
20.9,16.5,0.0,1.581
22.9,1.5,2.0,3.583
25.3,0.0,4.4,5.406
26.7,0.0,6.4,6.186
25.8,0.0,2.1,4.583
26.1,0.5,8.0,6.822
27.6,0.5,7.1,6.914
28.0,2.5,2.8,5.331
27.0,14.5,2.5,3.85
27.7,2.5,2.2,3.058
28.3,T,5.8,5.897
27.4,0.5,4.8,4.711
27.3,11.5,1.4,3.431
27.9,19.5,8.6,7.153
28.1,1.0,8.4,6.739
27.5,2.5,7.4,6.264
28.0,0.5,6.8,6.092
26.5,14.5,2.8,3.583
25.7,20.5,1.7,3.619
25.7,9.0,0.1,2.439
24.8,8.5,0.0,1.806
25.8,0.0,3.6,4.119
26.1,2.0,1.7,3.464
24.6,17.0,0.0,1.228
26.4,0.5,1.5,3.936
26.9,T,0.1,2.058
28.5,T,4.5,5.822
28.1,0.0,1.4,3.933
28.3,0.0,9.4,6.711
28.8,0.0,11.2,7.492
28.7,1.0,6.2,5.347
28.0,14.0,6.0,6.203
28.5,T,8.4,6.697
28.9,T,10.2,7.222
29.1,0.0,10.9,7.872
28.9,0.0,9.8,7.228
27.6,1.0,2.3,3.85
28.4,T,7.9,6.103
28.5,0.5,8.0,5.967
28.8,0.0,4.5,5.506
29.7,0.0,9.3,6.767
28.1,35.5,4.2,4.633
28.4,0.0,9.1,6.794
29.7,0.0,11.8,7.461
30.1,0.0,12.4,7.767
29.9,0.0,11.5,7.631
29.7,0.0,10.4,7.528
29.1,0.0,6.3,5.106
29.3,0.0,8.7,6.65
29.4,0.0,8.8,6.614
29.4,0.0,10.8,7.006
29.1,0.0,9.1,7.022
29.6,0.0,10.6,7.053
30.3,0.0,11.8,7.547
29.6,0.0,10.0,7.7
29.5,0.0,6.7,5.578
29.2,T,6.7,6.022
29.2,0.0,6.1,5.572
29.5,0.0,9.5,6.878
29.9,0.0,10.4,7.464
29.8,0.0,10.1,7.361
29.6,0.0,9.0,6.814
29.5,T,10.0,7.122
29.0,4.0,10.3,7.169
28.0,67.5,0.4,2.464
27.6,23.0,0.0,2.561
28.1,6.0,0.0,1.336
28.3,0.0,3.6,4.944
28.6,0.0,6.5,5.494
28.7,T,3.8,4.631
29.1,1.5,4.7,4.769
29.5,6.0,4.2,4.997
31.4,1.0,0.0,1.633
32.0,T,0.0,1.394
30.2,0.0,1.9,3.731
29.7,0.0,8.9,6.422
29.8,0.0,10.3,7.047
29.4,0.0,0.8,3.25
29.7,0.0,4.9,5.372
29.4,0.0,5.1,5.669
27.4,61.0,4.8,4.314
27.7,1.0,6.6,5.35
28.4,T,6.1,5.528
29.0,0.0,6.9,5.819
29.9,0.0,8.6,6.758
28.8,1.0,1.1,3.344
28.2,2.0,4.6,4.233
26.4,41.0,1.8,3.417
27.5,T,8.7,6.475
27.9,T,5.5,5.119
28.2,0.0,7.7,5.894
28.5,T,8.3,5.775
28.1,8.0,7.3,5.544
28.0,0.0,7.0,5.122
28.8,0.0,10.8,6.614
28.8,0.0,8.2,5.986
28.7,0.0,10.5,6.886
29.0,0.0,10.4,7.083
29.0,T,9.5,6.825
28.3,16.0,5.1,5.028
27.8,17.5,3.1,3.844
28.2,9.0,5.7,5.742
27.6,65.5,2.7,3.081
27.0,36.5,0.0,0.853
27.8,34.5,0.0,1.714
28.3,0.0,6.1,5.136
26.9,34.5,5.0,4.014
24.7,10.0,0.0,1.283
24.5,5.5,0.1,1.756
25.6,0.0,8.7,6.239
25.7,0.0,11.5,6.856
26.3,0.0,11.2,7.056
27.0,0.0,10.6,6.875
27.4,0.0,7.9,5.853
27.5,0.0,11.1,6.736
28.3,0.0,8.7,6.439
28.1,0.0,8.7,6.078
27.5,T,2.8,3.869
27.8,0.0,7.4,5.467
27.9,0.0,10.2,6.442
28.0,0.0,9.1,6.283
28.2,0.0,7.9,5.794
28.2,4.0,9.0,6.192
28.1,8.0,7.8,6.056
28.1,1.0,9.5,6.458
28.2,0.0,11.0,6.611
28.5,3.0,10.9,6.611
27.4,7.0,5.3,4.597
28.3,0.0,9.5,6.192
27.2,4.5,2.9,3.711
28.1,0.0,9.9,6.4
28.4,0.0,9.1,6.344
25.4,T,1.1,1.589
25.1,8.0,0.0,0.986
26.1,27.0,0.0,0.858
27.7,15.5,2.3,3.375
26.7,16.5,2.7,3.375
26.9,T,0.5,2.714
25.6,45.0,0.7,2.681
25.4,92.0,2.4,3.439
24.1,21.0,0.0,1.797
23.0,3.5,0.0,1.567
24.4,T,3.2,3.353
24.1,0.0,0.7,1.956
23.7,T,0.1,2.103
23.0,0.0,0.8,2.253
22.8,0.5,0.0,1.394
23.3,T,0.0,1.275
24.7,0.0,4.6,4.047
25.7,0.0,6.9,4.978
24.6,1.5,1.4,2.736
21.1,15.0,0.0,0.886
21.6,7.0,0.0,1.289
23.5,0.5,0.0,1.806
25.0,0.0,5.4,4.256
25.4,0.0,8.6,5.356
24.8,0.0,5.2,4.075
22.5,2.5,0.0,0.628
20.2,29.0,0.0,0.717
21.2,0.5,0.0,0.925
23.1,7.5,0.1,2.069
21.6,31.5,0.0,1.142
17.4,17.0,0.0,0.892
16.6,22.0,0.0,0.308
18.7,21.5,0.0,0.692
20.3,31.5,0.0,1.369
20.0,T,0.6,1.378
19.0,1.5,0.0,0.522
18.6,0.0,2.9,1.989
19.6,0.0,9.6,4.006
21.4,0.0,8.2,3.925
22.8,0.0,9.9,4.106
23.7,0.0,8.7,3.947
20.8,T,0.0,1.267
19.5,3.5,0.1,1.336
22.0,0.0,5.4,3.439
23.0,0.0,7.2,3.531
17.2,T,0.0,1.042
13.3,20.0,0.0,0.261
17.8,1.5,1.7,2.528
19.5,T,6.8,3.406
16.1,3.5,0.0,0.642
12.3,6.5,0.0,0.236
11.2,0.5,0.0,0.642
13.9,11.5,0.0,1.164
14.7,5.5,0.0,0.981
